,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,Home/Away,REST,OPP_REST,W/L
86,BKN,11/2/16,48,0.625,0.224,0.195,0.152,0.472,0.239,0.13,0.2,DET,1,2,1,1
87,BKN,11/4/16,48,0.454,0.241,0.152,0.14300000000000002,0.477,0.279,0.152,0.152,CHA,1,2,2,0
88,BKN,11/8/16,48,0.632,0.342,0.203,0.161,0.489,0.304,0.16,0.28300000000000003,MIN,1,4,3,1
89,BKN,11/9/16,48,0.487,0.342,0.177,0.146,0.5329999999999999,0.185,0.134,0.214,NYK,0,1,3,0
90,BKN,11/12/16,48,0.5710000000000001,0.35700000000000004,0.157,0.136,0.411,0.196,0.108,0.258,PHX,0,3,3,1
91,BKN,11/14/16,48,0.506,0.28600000000000003,0.221,0.209,0.611,0.233,0.117,0.243,LAC,0,2,2,0
92,BKN,11/15/16,48,0.515,0.202,0.124,0.18,0.495,0.467,0.11,0.269,LAL,0,1,2,0
93,BKN,11/18/16,48,0.488,0.361,0.152,0.163,0.59,0.27,0.152,0.303,OKC,0,3,2,0
94,BKN,11/20/16,48,0.452,0.333,0.095,0.208,0.665,0.247,0.14800000000000002,0.242,POR,1,2,2,0
95,BKN,11/23/16,48,0.453,0.256,0.18,0.188,0.536,0.08199999999999999,0.135,0.25,BOS,1,3,2,0
96,BKN,11/25/16,48,0.525,0.29100000000000004,0.2,0.191,0.615,0.184,0.15,0.237,IND,0,2,2,0
97,BKN,11/27/16,48,0.529,0.161,0.16,0.2,0.61,0.256,0.14800000000000002,0.214,SAC,1,2,2,0
98,BKN,11/29/16,48,0.495,0.34600000000000003,0.104,0.151,0.482,0.202,0.115,0.193,LAC,1,2,2,1
99,BKN,12/1/16,48,0.449,0.18,0.17600000000000002,0.261,0.544,0.363,0.194,0.333,MIL,1,2,2,0
100,BKN,12/3/16,48,0.434,0.363,0.128,0.204,0.506,0.424,0.113,0.163,MIL,0,2,2,0
101,BKN,12/5/16,48,0.562,0.37,0.213,0.325,0.565,0.196,0.098,0.17800000000000002,WAS,1,2,3,0
102,BKN,12/7/16,48,0.535,0.365,0.145,0.238,0.452,0.2,0.162,0.448,DEN,1,2,2,1
103,BKN,12/10/16,48,0.454,0.287,0.155,0.212,0.606,0.191,0.096,0.182,SAS,0,3,2,0
104,BKN,12/12/16,48,0.569,0.45,0.182,0.17600000000000002,0.555,0.396,0.127,0.239,HOU,0,2,2,0
105,BKN,12/14/16,48,0.448,0.465,0.159,0.38,0.418,0.374,0.102,0.3,LAL,1,2,2,1
106,BKN,12/16/16,48,0.536,0.313,0.161,0.14300000000000002,0.438,0.433,0.064,0.25,ORL,0,2,2,0
107,BKN,12/18/16,48,0.519,0.383,0.154,0.171,0.5,0.261,0.166,0.265,PHI,0,2,2,0
108,BKN,12/20/16,48,0.451,0.308,0.16,0.28,0.505,0.341,0.123,0.24,TOR,0,2,2,0
109,BKN,12/22/16,48,0.517,0.18600000000000005,0.232,0.149,0.51,0.135,0.116,0.22,GSW,1,2,2,0
110,BKN,12/23/16,48,0.494,0.212,0.181,0.149,0.495,0.242,0.1,0.229,CLE,0,1,2,0
111,BKN,12/26/16,48,0.633,0.413,0.151,0.111,0.511,0.266,0.106,0.255,CHA,1,3,3,1
112,BKN,12/28/16,48,0.506,0.18600000000000005,0.16,0.196,0.415,0.33,0.177,0.378,CHI,0,2,2,0
113,BKN,12/30/16,48,0.5,0.338,0.21,0.14300000000000002,0.633,0.16899999999999998,0.198,0.235,WAS,0,2,2,0
114,BKN,1/2/17,48,0.462,0.295,0.158,0.19,0.457,0.215,0.091,0.25,UTA,1,3,2,0
115,BKN,1/5/17,48,0.55,0.14400000000000002,0.129,0.17800000000000002,0.57,0.204,0.06,0.159,IND,0,3,2,0
116,BKN,1/6/17,48,0.5,0.209,0.175,0.196,0.483,0.489,0.105,0.106,CLE,1,1,2,0
117,BKN,1/8/17,48,0.526,0.218,0.213,0.091,0.436,0.287,0.115,0.14300000000000002,PHI,1,2,2,0
118,BKN,1/10/17,48,0.46,0.264,0.17800000000000002,0.269,0.516,0.413,0.114,0.306,ATL,1,2,3,0
119,BKN,1/12/17,48,0.459,0.113,0.14400000000000002,0.146,0.483,0.278,0.156,0.173,NOP,1,2,3,0
120,BKN,1/13/17,48,0.564,0.233,0.117,0.1,0.593,0.21600000000000005,0.079,0.295,TOR,0,1,3,0
121,BKN,1/15/17,48,0.522,0.204,0.163,0.188,0.614,0.348,0.131,0.31,HOU,1,2,2,0
122,BKN,1/17/17,48,0.489,0.27,0.128,0.244,0.5760000000000001,0.174,0.101,0.25,TOR,1,2,2,0
123,BKN,1/20/17,48,0.669,0.422,0.152,0.237,0.462,0.219,0.085,0.295,NOP,0,3,2,1
124,BKN,1/21/17,48,0.528,0.17,0.134,0.091,0.561,0.268,0.132,0.14300000000000002,CHA,0,1,1,0
125,BKN,1/23/17,48,0.426,0.222,0.168,0.119,0.521,0.168,0.092,0.28300000000000003,SAS,1,2,2,0
126,BKN,1/25/17,48,0.519,0.325,0.146,0.105,0.5479999999999999,0.301,0.129,0.171,MIA,1,2,2,0
127,BKN,1/27/17,48,0.586,0.184,0.109,0.095,0.603,0.217,0.132,0.214,CLE,0,2,2,0
128,BKN,1/28/17,48,0.524,0.294,0.142,0.122,0.5539999999999999,0.344,0.105,0.271,MIN,0,1,2,0
129,BKN,1/30/17,48,0.448,0.253,0.16399999999999998,0.341,0.5429999999999999,0.28,0.112,0.116,MIA,0,2,2,0
130,BKN,2/1/17,48,0.449,0.182,0.202,0.245,0.384,0.313,0.124,0.362,NYK,1,2,1,0
131,BKN,2/3/17,48,0.436,0.267,0.179,0.196,0.477,0.36,0.162,0.255,IND,1,2,2,0
132,BKN,2/5/17,48,0.507,0.276,0.219,0.159,0.489,0.23,0.12,0.18600000000000005,TOR,1,2,2,0
133,BKN,2/7/17,48,0.523,0.244,0.165,0.093,0.426,0.284,0.064,0.226,CHA,0,2,3,0
134,BKN,2/8/17,48,0.467,0.396,0.156,0.28800000000000003,0.459,0.34,0.121,0.298,WAS,1,1,2,0
135,BKN,2/10/17,48,0.481,0.34600000000000003,0.219,0.313,0.484,0.228,0.13699999999999998,0.28300000000000003,MIA,1,2,2,0
136,BKN,2/13/17,48,0.537,0.22,0.125,0.14300000000000002,0.565,0.35100000000000003,0.125,0.161,MEM,1,3,3,0
137,BKN,2/15/17,48,0.602,0.261,0.16,0.22,0.608,0.364,0.095,0.175,MIL,1,2,2,0
138,BKN,2/24/17,48,0.5539999999999999,0.373,0.175,0.149,0.5770000000000001,0.247,0.127,0.239,DEN,0,9,1,0
139,BKN,2/25/17,48,0.447,0.181,0.166,0.22,0.475,0.22,0.102,0.241,GSW,0,1,2,0
140,BKN,3/1/17,48,0.534,0.486,0.192,0.263,0.5,0.272,0.157,0.233,SAC,0,4,2,1
141,BKN,3/3/17,48,0.444,0.27,0.117,0.184,0.595,0.459,0.14300000000000002,0.132,UTA,0,2,2,0
142,BKN,3/4/17,48,0.605,0.198,0.141,0.205,0.6629999999999999,0.256,0.127,0.207,POR,0,1,2,0
143,BKN,3/6/17,48,0.63,0.521,0.17,0.194,0.506,0.506,0.157,0.19,MEM,0,2,2,1
144,BKN,3/8/17,48,0.531,0.313,0.211,0.122,0.453,0.337,0.14,0.239,ATL,0,2,2,0
145,BKN,3/10/17,48,0.494,0.295,0.125,0.091,0.513,0.359,0.161,0.184,DAL,0,2,3,0
146,BKN,3/12/17,48,0.569,0.333,0.156,0.289,0.457,0.34,0.085,0.208,NYK,1,2,1,1
147,BKN,3/14/17,48,0.5489999999999999,0.423,0.2,0.114,0.551,0.382,0.125,0.317,OKC,1,2,3,0
148,BKN,3/16/17,48,0.535,0.407,0.145,0.31,0.483,0.295,0.069,0.116,NYK,0,2,2,1
149,BKN,3/17/17,48,0.428,0.361,0.1,0.122,0.441,0.341,0.127,0.18600000000000005,BOS,1,1,2,0
150,BKN,3/19/17,48,0.521,0.528,0.158,0.225,0.605,0.329,0.105,0.059,DAL,1,2,2,0
151,BKN,3/21/17,48,0.489,0.21600000000000005,0.114,0.212,0.462,0.174,0.073,0.222,DET,1,2,2,1
152,BKN,3/23/17,48,0.495,0.442,0.15,0.327,0.403,0.366,0.177,0.254,PHX,1,2,2,1
153,BKN,3/24/17,48,0.5429999999999999,0.317,0.138,0.146,0.557,0.227,0.095,0.256,WAS,0,1,2,0
154,BKN,3/26/17,48,0.477,0.349,0.171,0.273,0.3720000000000001,0.327,0.196,0.406,ATL,0,2,2,1
155,BKN,3/28/17,48,0.452,0.255,0.124,0.241,0.484,0.231,0.153,0.245,PHI,1,2,2,0
156,BKN,3/30/17,48,0.435,0.13,0.127,0.16,0.459,0.198,0.162,0.224,DET,0,2,2,0
157,BKN,4/1/17,48,0.574,0.17,0.107,0.225,0.5489999999999999,0.165,0.139,0.239,ORL,1,2,1,1
158,BKN,4/2/17,48,0.451,0.244,0.202,0.182,0.419,0.28800000000000003,0.196,0.157,ATL,1,1,1,1
159,BKN,4/4/17,48,0.747,0.44,0.16899999999999998,0.043,0.505,0.278,0.104,0.28600000000000003,PHI,0,2,2,1
160,BKN,4/6/17,48,0.523,0.253,0.135,0.152,0.517,0.289,0.132,0.22,ORL,0,2,2,0
161,BKN,4/8/17,48,0.478,0.261,0.123,0.196,0.506,0.189,0.16399999999999998,0.244,CHI,1,2,2,1
162,BKN,4/10/17,48,0.407,0.453,0.113,0.17600000000000002,0.527,0.231,0.133,0.184,BOS,0,2,2,0
163,BKN,4/12/17,48,0.343,0.209,0.185,0.172,0.505,0.221,0.126,0.269,CHI,0,2,2,0
164,BOS,10/26/16,48,0.601,0.202,0.183,0.293,0.521,0.206,0.15,0.3,BKN,1,0,0,1
165,BOS,10/27/16,48,0.5529999999999999,0.316,0.126,0.075,0.451,0.326,0.121,0.353,CHI,0,1,0,0
166,BOS,10/29/16,48,0.574,0.21,0.133,0.111,0.462,0.418,0.093,0.136,CHA,0,2,1,1
167,BOS,11/2/16,48,0.552,0.195,0.124,0.227,0.475,0.383,0.193,0.341,CHI,1,4,2,1
168,BOS,11/3/16,48,0.536,0.229,0.077,0.222,0.5710000000000001,0.44,0.079,0.194,CLE,0,1,2,0
169,BOS,11/6/16,48,0.5,0.233,0.12,0.224,0.589,0.369,0.16899999999999998,0.243,DEN,1,3,1,0
170,BOS,11/9/16,48,0.494,0.272,0.116,0.16699999999999998,0.5539999999999999,0.217,0.128,0.442,WAS,0,3,2,0
171,BOS,11/11/16,48,0.45,0.478,0.151,0.345,0.383,0.181,0.237,0.382,NYK,1,2,2,1
172,BOS,11/12/16,48,0.488,0.413,0.15,0.341,0.453,0.326,0.138,0.256,IND,0,1,1,1
173,BOS,11/14/16,48,0.463,0.211,0.115,0.224,0.481,0.456,0.16399999999999998,0.195,NOP,0,2,2,0
174,BOS,11/16/16,48,0.48,0.303,0.206,0.325,0.458,0.12,0.098,0.111,DAL,1,2,2,1
175,BOS,11/18/16,48,0.44,0.229,0.134,0.146,0.539,0.133,0.113,0.2,GSW,1,2,2,0
176,BOS,11/19/16,48,0.476,0.207,0.09,0.188,0.471,0.18600000000000005,0.079,0.229,DET,0,1,1,1
177,BOS,11/21/16,48,0.524,0.16699999999999998,0.125,0.146,0.442,0.29100000000000004,0.156,0.327,MIN,0,2,2,1
178,BOS,11/23/16,48,0.536,0.08199999999999999,0.135,0.25,0.453,0.256,0.18,0.188,BKN,0,2,3,1
179,BOS,11/25/16,48,0.527,0.099,0.103,0.2,0.537,0.309,0.177,0.317,SAS,1,2,2,0
180,BOS,11/28/16,48,0.5479999999999999,0.313,0.102,0.15,0.513,0.4,0.13,0.171,MIA,0,3,2,1
181,BOS,11/30/16,48,0.522,0.22,0.062,0.188,0.603,0.241,0.117,0.35100000000000003,DET,1,2,1,0
182,BOS,12/2/16,48,0.472,0.17,0.152,0.229,0.409,0.284,0.141,0.292,SAC,1,2,4,1
183,BOS,12/3/16,48,0.5529999999999999,0.382,0.117,0.16699999999999998,0.5589999999999999,0.342,0.17600000000000002,0.205,PHI,0,1,1,1
184,BOS,12/5/16,48,0.48,0.121,0.104,0.204,0.526,0.408,0.171,0.179,HOU,0,2,3,0
185,BOS,12/7/16,48,0.5539999999999999,0.345,0.104,0.275,0.438,0.29600000000000004,0.14400000000000002,0.174,ORL,0,2,1,1
186,BOS,12/9/16,48,0.476,0.265,0.142,0.16,0.47,0.329,0.114,0.174,TOR,1,2,1,0
187,BOS,12/11/16,48,0.506,0.08900000000000001,0.147,0.261,0.512,0.325,0.14,0.349,OKC,0,2,2,0
188,BOS,12/14/16,48,0.5,0.238,0.133,0.195,0.6,0.175,0.165,0.156,SAS,0,3,4,0
189,BOS,12/16/16,48,0.494,0.333,0.133,0.119,0.371,0.196,0.118,0.281,CHA,1,2,2,1
190,BOS,12/18/16,48,0.506,0.211,0.13,0.239,0.5870000000000001,0.362,0.237,0.188,MIA,0,2,2,1
191,BOS,12/20/16,48,0.481,0.469,0.127,0.18600000000000005,0.468,0.277,0.128,0.34,MEM,0,2,2,1
192,BOS,12/22/16,48,0.467,0.293,0.095,0.17600000000000002,0.47,0.354,0.18,0.18600000000000005,IND,0,2,2,1
193,BOS,12/23/16,48,0.489,0.28,0.121,0.227,0.581,0.45,0.132,0.256,OKC,1,1,2,0
194,BOS,12/25/16,48,0.5589999999999999,0.215,0.07200000000000001,0.273,0.517,0.31,0.172,0.386,NYK,0,2,3,1
195,BOS,12/27/16,48,0.5529999999999999,0.247,0.183,0.368,0.472,0.33,0.111,0.28300000000000003,MEM,1,2,1,1
196,BOS,12/29/16,48,0.5760000000000001,0.247,0.111,0.154,0.602,0.398,0.17600000000000002,0.361,CLE,0,2,3,0
197,BOS,12/30/16,48,0.628,0.392,0.146,0.14300000000000002,0.594,0.111,0.123,0.265,MIA,1,1,1,1
198,BOS,1/3/17,48,0.669,0.23,0.153,0.129,0.53,0.256,0.117,0.222,UTA,1,4,1,1
199,BOS,1/6/17,48,0.511,0.287,0.173,0.245,0.525,0.329,0.14800000000000002,0.118,PHI,1,3,3,1
200,BOS,1/7/17,48,0.527,0.226,0.103,0.313,0.529,0.271,0.122,0.22,NOP,1,1,2,1
201,BOS,1/10/17,48,0.524,0.235,0.146,0.154,0.529,0.31,0.18,0.386,TOR,0,3,2,0
202,BOS,1/11/17,48,0.606,0.212,0.14400000000000002,0.263,0.476,0.114,0.078,0.314,WAS,1,1,1,1
203,BOS,1/13/17,48,0.536,0.229,0.127,0.225,0.494,0.25,0.129,0.261,ATL,0,2,3,1
204,BOS,1/16/17,48,0.589,0.119,0.13,0.2,0.488,0.198,0.116,0.217,CHA,1,3,3,1
205,BOS,1/18/17,48,0.434,0.319,0.031,0.188,0.56,0.198,0.165,0.429,NYK,1,2,2,0
206,BOS,1/21/17,48,0.527,0.337,0.18600000000000005,0.333,0.522,0.391,0.124,0.214,POR,1,3,1,0
207,BOS,1/24/17,48,0.512,0.28600000000000003,0.139,0.18600000000000005,0.625,0.25,0.158,0.25,WAS,0,3,1,0
208,BOS,1/25/17,48,0.5770000000000001,0.17600000000000002,0.173,0.333,0.532,0.494,0.162,0.14300000000000002,HOU,1,1,2,1
209,BOS,1/27/17,48,0.652,0.16899999999999998,0.101,0.184,0.489,0.207,0.12,0.149,ORL,1,2,3,1
210,BOS,1/28/17,48,0.494,0.337,0.122,0.191,0.477,0.368,0.14800000000000002,0.205,MIL,0,1,1,1
211,BOS,1/30/17,48,0.518,0.402,0.099,0.133,0.459,0.299,0.067,0.24,DET,1,2,2,1
212,BOS,2/1/17,48,0.483,0.345,0.102,0.267,0.5770000000000001,0.321,0.165,0.229,TOR,1,2,1,1
213,BOS,2/3/17,48,0.555,0.341,0.155,0.159,0.468,0.277,0.117,0.273,LAL,1,2,1,1
214,BOS,2/5/17,48,0.511,0.227,0.111,0.191,0.476,0.333,0.128,0.182,LAC,1,2,3,1
215,BOS,2/8/17,48,0.466,0.37,0.188,0.163,0.56,0.179,0.139,0.111,SAC,0,3,2,0
