,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,Home/Away,REST,OPP_REST,W/L,+/-
145,UTA,11/4/16,48,0.444,0.3,0.128,0.184,0.482,0.265,0.116,0.214,SAS,1,2,3,0,-14
146,SAS,11/4/16,48,0.482,0.265,0.116,0.214,0.444,0.3,0.128,0.184,UTA,0,3,2,1,14
147,WAS,11/4/16,48,0.419,0.438,0.184,0.229,0.416,0.434,0.168,0.222,ATL,1,2,2,1,3
148,MIA,11/4/16,48,0.438,0.17,0.136,0.245,0.476,0.214,0.169,0.295,TOR,0,3,2,0,-9
149,CHI,11/4/16,48,0.488,0.321,0.138,0.341,0.567,0.236,0.054,0.289,NYK,1,2,2,0,-13
150,NOP,11/4/16,48,0.511,0.298,0.082,0.113,0.473,0.301,0.146,0.245,PHX,1,2,2,0,-1
151,DAL,11/4/16,48,0.47,0.241,0.133,0.167,0.525,0.325,0.142,0.159,POR,1,2,2,0,-10
152,TOR,11/4/16,48,0.476,0.214,0.169,0.295,0.438,0.17,0.136,0.245,MIA,1,2,3,1,9
153,GSW,11/4/16,48,0.483,0.233,0.189,0.205,0.516,0.221,0.153,0.34,LAL,0,1,2,0,-20
154,ATL,11/4/16,48,0.416,0.434,0.168,0.222,0.419,0.438,0.184,0.229,WAS,0,2,2,0,-3
155,MEM,11/4/16,48,0.423,0.262,0.191,0.265,0.424,0.388,0.119,0.239,LAC,1,2,2,0,-11
156,MIL,11/5/16,48,0.585,0.305,0.183,0.425,0.452,0.226,0.159,0.265,SAC,1,2,2,1,26
157,DEN,11/5/16,48,0.367,0.213,0.156,0.296,0.518,0.262,0.142,0.22,DET,0,2,3,0,-17
158,WAS,11/5/16,48,0.43,0.198,0.122,0.298,0.455,0.346,0.101,0.222,ORL,0,1,2,0,-2
159,PHI,11/5/16,48,0.54,0.138,0.163,0.116,0.484,0.198,0.154,0.216,CLE,1,3,2,0,-1
160,ORL,11/5/16,48,0.455,0.346,0.101,0.222,0.43,0.198,0.122,0.298,WAS,1,2,1,1,2
161,SAS,11/5/16,48,0.473,0.338,0.161,0.171,0.566,0.154,0.091,0.175,LAC,1,1,1,0,-24
162,DET,11/5/16,48,0.518,0.262,0.142,0.22,0.367,0.213,0.156,0.296,DEN,1,3,2,1,17
163,ATL,11/5/16,48,0.576,0.282,0.195,0.295,0.506,0.153,0.248,0.279,HOU,1,1,3,1,15
164,LAC,11/5/16,48,0.566,0.154,0.091,0.175,0.473,0.338,0.161,0.171,SAS,0,1,1,1,24
165,OKC,11/5/16,48,0.564,0.279,0.123,0.314,0.417,0.345,0.176,0.362,MIN,1,2,2,1,20
166,IND,11/5/16,48,0.605,0.14,0.126,0.229,0.468,0.316,0.189,0.317,CHI,1,2,1,1,17
167,CHI,11/5/16,48,0.468,0.316,0.189,0.317,0.605,0.14,0.126,0.229,IND,0,1,2,0,-17
168,SAC,11/5/16,48,0.452,0.226,0.159,0.265,0.585,0.305,0.183,0.425,MIL,0,2,2,0,-26
169,CLE,11/5/16,48,0.484,0.198,0.154,0.216,0.54,0.138,0.163,0.116,PHI,0,2,3,1,1
170,HOU,11/5/16,48,0.506,0.153,0.248,0.279,0.576,0.282,0.195,0.295,ATL,0,3,1,0,-15
171,MIN,11/5/16,48,0.417,0.345,0.176,0.362,0.564,0.279,0.123,0.314,OKC,0,2,2,0,-20
172,BOS,11/6/16,48,0.5,0.233,0.12,0.224,0.589,0.369,0.169,0.243,DEN,1,3,1,0,-16
173,PHX,11/6/16,48,0.473,0.308,0.163,0.224,0.511,0.389,0.174,0.341,LAL,0,2,2,0,-11
174,DEN,11/6/16,48,0.589,0.369,0.169,0.243,0.5,0.233,0.12,0.224,BOS,0,1,3,1,16
175,DAL,11/6/16,48,0.426,0.136,0.161,0.192,0.402,0.146,0.256,0.2,MIL,1,2,1,1,11
176,TOR,11/6/16,48,0.399,0.369,0.066,0.277,0.468,0.397,0.123,0.302,SAC,1,2,1,0,-5
177,LAL,11/6/16,48,0.511,0.389,0.174,0.341,0.473,0.308,0.163,0.224,PHX,1,2,2,1,11
178,MIL,11/6/16,48,0.402,0.146,0.256,0.2,0.426,0.136,0.161,0.192,DAL,0,1,2,0,-11
179,UTA,11/6/16,48,0.56,0.467,0.117,0.194,0.554,0.229,0.138,0.27,NYK,0,2,2,1,5
180,NYK,11/6/16,48,0.554,0.229,0.138,0.27,0.56,0.467,0.117,0.194,UTA,1,2,2,0,-5
181,MEM,11/6/16,48,0.42,0.395,0.135,0.273,0.549,0.38,0.161,0.135,POR,1,2,2,0,-6
182,POR,11/6/16,48,0.549,0.38,0.161,0.135,0.42,0.395,0.135,0.273,MEM,0,2,2,1,6
183,SAC,11/6/16,48,0.468,0.397,0.123,0.302,0.399,0.369,0.066,0.277,TOR,0,1,2,1,5
184,OKC,11/7/16,48,0.488,0.2,0.179,0.256,0.393,0.262,0.128,0.245,MIA,1,2,3,1,12
