ID,Year,Player,Pos,Age,Tm,G,TS%,FTr,OWS,DWS,WS,FG,FGA,FG%,2P,2PA,2P%,eFG%,FT,FTA,FT%,AST,PF,PTS
24590,2017,J.R. Smith,SG,31,CLE,41,0.484,0.042,0.1,0.8,0.8,123,356,0.346,28,85,0.329,0.479,10,15,0.667,62,77,351
24591,2017,Jason Smith,C,30,WAS,74,0.598,0.155,1,1.3,2.3,174,329,0.529,137,251,0.546,0.585,35,51,0.686,37,168,420
24592,2017,Tony Snell,SG,25,MIL,80,0.603,0.107,2.1,1.3,3.4,246,541,0.455,102,186,0.548,0.588,47,58,0.81,96,125,683
24593,2017,Marreese Speights,C,29,LAC,82,0.584,0.25,2.5,1.7,4.2,244,548,0.445,141,271,0.52,0.539,120,137,0.876,66,229,711
24594,2017,Tiago Splitter,C,32,PHI,8,0.544,0.355,0.1,0.1,0.1,14,31,0.452,12,25,0.48,0.484,9,11,0.818,4,8,39
24595,2017,Nik Stauskas,SG,23,PHI,80,0.54,0.237,0.1,1.4,1.4,251,634,0.396,119,275,0.433,0.5,122,150,0.813,188,144,756
24596,2017,Lance Stephenson,SG,26,TOT,18,0.485,0.108,-0.2,0.2,0.1,54,120,0.45,48,100,0.48,0.475,8,13,0.615,59,32,122
24597,2017,Lance Stephenson,SG,26,NOP,6,0.496,0.145,0,0.1,0.1,26,55,0.473,25,45,0.556,0.482,5,8,0.625,29,18,58
24598,2017,Lance Stephenson,SG,26,MIN,6,0.48,0.095,-0.1,0,-0.1,10,21,0.476,10,19,0.526,0.476,1,2,0.5,5,2,21
24599,2017,Lance Stephenson,SG,26,IND,6,0.474,0.068,-0.1,0.1,0,18,44,0.409,13,36,0.361,0.466,2,3,0.667,25,12,43
24600,2017,Jarnell Stokes,C,23,DEN,2,0.798,2,0.1,0,0.1,1,1,1,1,1,1,1,1,2,0.5,2,3,3
24601,2017,Diamond Stone,C,19,LAC,7,0.339,0.308,-0.1,0,-0.1,3,13,0.231,3,13,0.231,0.231,4,4,1,0,5,10
24602,2017,Rodney Stuckey,PG,30,IND,39,0.483,0.439,-0.5,0.4,-0.1,91,244,0.373,72,184,0.391,0.412,80,107,0.748,84,44,281
24603,2017,Jared Sullinger,PF,24,TOR,11,0.359,0.167,-0.2,0.1,-0.1,15,48,0.313,12,30,0.4,0.344,4,8,0.5,3,17,37
24604,2017,Edy Tavares,C,24,TOT,2,0.633,0.6,0,0.1,0.1,4,5,0.8,4,5,0.8,0.8,0,3,0,1,3,8
24605,2017,Edy Tavares,C,24,ATL,1,0.532,2,0,0,0,1,1,1,1,1,1,1,0,2,0,0,0,2
24606,2017,Edy Tavares,C,24,CLE,1,0.676,0.25,0,0.1,0.1,3,4,0.75,3,4,0.75,0.75,0,1,0,1,3,6
24607,2017,Isaiah Taylor,PG,22,HOU,4,0.19,0.286,-0.1,0,0,1,7,0.143,1,5,0.2,0.143,1,2,0.5,3,6,3
24608,2017,Jeff Teague,PG,28,IND,82,0.574,0.457,5.7,2.4,8.1,402,909,0.442,312,657,0.475,0.492,360,415,0.867,639,165,1254
24609,2017,Mirza Teletovic,PF,31,MIL,70,0.515,0.108,-0.1,0.7,0.6,156,418,0.373,52,113,0.46,0.498,35,45,0.778,48,109,451
24610,2017,Garrett Temple,SG,30,SAC,65,0.545,0.171,0.9,1.3,2.2,183,432,0.424,101,212,0.476,0.519,58,74,0.784,169,141,506
24611,2017,Jason Terry,SG,39,MIL,74,0.6,0.119,1.2,0.9,2.1,105,243,0.432,32,72,0.444,0.582,24,29,0.828,98,95,307
24612,2017,Isaiah Thomas,PG,27,BOS,76,0.625,0.441,10.9,1.6,12.6,682,1473,0.463,437,827,0.528,0.546,590,649,0.909,449,167,2199
24613,2017,Lance Thomas,PF,28,NYK,46,0.516,0.209,0.6,0.4,0.9,97,244,0.398,59,159,0.371,0.475,43,51,0.843,35,85,275
24614,2017,Hollis Thompson,SG,25,TOT,40,0.482,0.145,0.1,0.6,0.7,77,200,0.385,45,105,0.429,0.465,19,29,0.655,35,69,205
24615,2017,Hollis Thompson,SG,25,PHI,31,0.51,0.126,0.3,0.4,0.7,66,159,0.415,40,88,0.455,0.497,13,20,0.65,26,55,171
24616,2017,Hollis Thompson,SG,25,NOP,9,0.378,0.22,-0.2,0.2,0,11,41,0.268,5,17,0.294,0.341,6,9,0.667,9,14,34
24617,2017,Klay Thompson,SG,26,GSW,78,0.592,0.158,4.2,2.9,7.1,644,1376,0.468,376,729,0.516,0.565,186,218,0.853,160,139,1742
24618,2017,Tristan Thompson,C,25,CLE,78,0.594,0.487,5,2.3,7.3,262,437,0.6,262,434,0.604,0.6,106,213,0.498,77,176,630
24619,2017,Marcus Thornton,SG,29,WAS,33,0.494,0.129,0.1,0.4,0.5,84,210,0.4,56,130,0.431,0.467,23,27,0.852,41,48,219
24620,2017,Mike Tobey,C,22,CHO,2,0.25,0,0,0,0,1,4,0.25,1,4,0.25,0.25,0,0,,1,2,2
24621,2017,Anthony Tolliver,PF,31,SAC,65,0.595,0.234,1.5,0.8,2.3,155,351,0.442,65,121,0.537,0.57,61,82,0.744,77,109,461
24622,2017,Axel Toupane,SF,24,TOT,4,0.611,0,0,0,0.1,5,9,0.556,4,5,0.8,0.611,0,0,,0,6,11
24623,2017,Axel Toupane,SF,24,MIL,2,0,0,0,0,0,0,1,0,0,0,,0,0,0,,0,1,0
24624,2017,Axel Toupane,SF,24,NOP,2,0.688,0,0.1,0,0.1,5,8,0.625,4,5,0.8,0.688,0,0,,0,5,11
24625,2017,Karl-Anthony Towns,C,21,MIN,82,0.618,0.289,9.9,2.8,12.7,802,1479,0.542,701,1204,0.582,0.576,356,428,0.832,220,241,2061
24626,2017,P.J. Tucker,SF,31,TOT,81,0.516,0.193,1.4,2.2,3.6,199,482,0.413,129,286,0.451,0.485,72,93,0.774,99,196,540
24627,2017,P.J. Tucker,SF,31,PHO,57,0.517,0.218,1,1.3,2.4,147,354,0.415,101,218,0.463,0.48,61,77,0.792,73,143,401
24628,2017,P.J. Tucker,SF,31,TOR,24,0.515,0.125,0.4,0.9,1.3,52,128,0.406,28,68,0.412,0.5,11,16,0.688,26,53,139
24629,2017,Evan Turner,SF,28,POR,65,0.491,0.187,0,1.2,1.2,235,552,0.426,204,434,0.47,0.454,85,103,0.825,205,121,586
24630,2017,Myles Turner,C,20,IND,81,0.585,0.349,4.3,3.7,8,444,869,0.511,404,754,0.536,0.534,245,303,0.809,106,262,1173
24631,2017,Beno Udrih,PG,34,DET,39,0.535,0.173,0.8,0.5,1.3,92,197,0.467,81,165,0.491,0.495,32,34,0.941,131,29,227
