NYK	NYK vs. SAC	11/11/2017		W	48	118	47	90	52.2	12	27	44.4	12	15	80.0	8	32	40	29	11	6	6	22	27	
PHI	PHI @ GSW	11/11/2017		L	48	114	44	94	46.8	12	28	42.9	14	20	70.0	13	25	38	30	20	10	2	19	-21	
DEN	DEN vs. ORL	11/11/2017		W	48	125	46	87	52.9	12	29	41.4	21	27	77.8	13	37	50	29	13	9	4	16	18	
PHX	PHX vs. MIN	11/11/2017		W	48	118	46	86	53.5	10	26	38.5	16	24	66.7	7	39	46	21	18	4	10	25	8	
CHI	CHI vs. IND	11/10/2017		L	48	87	37	93	39.8	7	27	25.9	6	9	66.7	11	32	43	24	12	10	3	13	-18	
MIL	MIL @ SAS	11/10/2017		W	48	94	41	89	46.1	5	18	27.8	7	14	50.0	11	36	47	27	14	10	7	13	7	
POR	POR vs. BKN	11/10/2017		L	48	97	40	95	42.1	8	23	34.8	9	11	81.8	12	39	51	17	11	4	4	17	-4	
MIA	MIA @ UTA	11/10/2017		W	48	84	30	77	39.0	10	25	40.0	14	18	77.8	7	41	48	10	21	9	6	20	10	
BOS	BOS vs. CHA	11/10/2017		W	48	90	30	84	35.7	9	31	29.0	21	25	84.0	9	40	49	15	13	6	5	26	3	
CHA	CHA @ BOS	11/10/2017		L	48	87	31	80	38.8	6	22	27.3	19	33	57.6	7	40	47	20	14	5	7	21	-3	
IND	IND @ CHI	11/10/2017		W	48	105	43	84	51.2	12	29	41.4	7	12	58.3	7	44	51	27	18	8	3	17	18	
UTA	UTA vs. MIA	11/10/2017		L	48	74	25	74	33.8	5	21	23.8	19	22	86.4	4	36	40	12	18	10	7	20	-10	
OKC	OKC vs. LAC	11/10/2017		W	48	120	40	78	51.3	11	26	42.3	29	40	72.5	11	29	40	23	12	8	7	29	9	
DET	DET vs. ATL	11/10/2017		W	48	111	39	89	43.8	12	30	40.0	21	27	77.8	20	31	51	23	17	7	5	18	7	
ATL	ATL @ DET	11/10/2017		L	48	104	44	89	49.4	8	24	33.3	8	11	72.7	11	34	45	28	16	11	7	21	-7	
ORL	ORL @ PHX	11/10/2017		W	48	128	43	82	52.4	13	28	46.4	29	43	67.4	7	37	44	29	18	8	5	20	16	
LAC	LAC @ OKC	11/10/2017		L	48	111	39	84	46.4	12	30	40.0	21	30	70.0	16	30	46	13	19	4	2	30	-9	
SAS	SAS vs. MIL	11/10/2017		L	48	87	34	80	42.5	9	29	31.0	10	11	90.9	9	34	43	23	18	8	6	15	-7	
BKN	BKN @ POR	11/10/2017		W	48	101	39	91	42.9	12	38	31.6	11	19	57.9	11	38	49	25	10	7	4	13	4	
PHX	PHX vs. ORL	11/10/2017		L	48	112	44	94	46.8	5	24	20.8	19	25	76.0	12	28	40	13	15	8	5	29	-16	
WAS	WAS vs. LAL	11/09/2017		W	48	111	43	83	51.8	7	21	33.3	18	20	90.0	7	38	45	20	22	7	4	31	16	
SAC	SAC vs. PHI	11/09/2017		W	48	109	40	93	43.0	12	27	44.4	17	28	60.7	8	37	45	29	9	6	5	19	1	
PHI	PHI @ SAC	11/09/2017		L	48	108	37	87	42.5	15	37	40.5	19	27	70.4	13	43	56	23	17	6	5	28	-1	
DEN	DEN vs. OKC	11/09/2017		W	48	102	38	82	46.3	9	27	33.3	17	22	77.3	14	31	45	27	19	7	7	15	8	
LAL	LAL @ WAS	11/09/2017		L	48	95	31	86	36.0	3	23	13.0	30	41	73.2	17	29	46	17	19	9	4	19	-16	
NOP	NOP @ TOR	11/09/2017		L	48	118	44	82	53.7	13	31	41.9	17	25	68.0	4	34	38	31	14	7	4	20	-4	
TOR	TOR vs. NOP	11/09/2017		W	48	122	45	98	45.9	16	42	38.1	16	23	69.6	10	38	48	27	12	8	4	24	4	
HOU	HOU vs. CLE	11/09/2017		W	48	117	36	77	46.8	16	46	34.8	29	36	80.6	17	28	45	21	22	11	5	27	4	
CLE	CLE @ HOU	11/09/2017		L	48	113	45	81	55.6	12	27	44.4	11	14	78.6	4	22	26	24	19	9	1	30	-4	
OKC	OKC @ DEN	11/09/2017		L	48	94	38	90	42.2	11	30	36.7	7	14	50.0	18	26	44	16	18	15	7	23	-8	
MIN	MIN @ GSW	11/08/2017		L	48	101	38	92	41.3	5	24	20.8	20	27	74.1	9	32	41	21	14	15	0	14	-24	
NYK	NYK @ ORL	11/08/2017		L	48	99	42	80	52.5	5	12	41.7	10	13	76.9	12	30	42	26	23	7	2	21	-13	
BOS	BOS vs. LAL	11/08/2017		W	48	107	38	98	38.8	7	29	24.1	24	31	77.4	16	32	48	20	14	8	6	20	11	
DET	DET vs. IND	11/08/2017		W	48	114	43	83	51.8	12	27	44.4	16	25	64.0	8	42	50	25	18	3	5	22	17	
ORL	ORL vs. NYK	11/08/2017		W	48	112	43	80	53.8	13	28	46.4	13	22	59.1	6	23	29	31	13	16	7	15	13	
LAL	LAL @ BOS	11/08/2017		L	48	96	37	85	43.5	5	24	20.8	17	23	73.9	12	36	48	16	21	8	8	30	-11	
GSW	GSW vs. MIN	11/08/2017		W	48	125	48	85	56.5	15	36	41.7	14	18	77.8	3	42	45	37	19	10	9	23	24	
PHX	PHX vs. MIA	11/08/2017		L	48	115	40	88	45.5	12	29	41.4	23	30	76.7	6	28	34	20	11	4	2	29	-11	
IND	IND @ DET	11/08/2017		L	48	97	38	88	43.2	7	24	29.2	14	18	77.8	7	31	38	22	15	8	3	24	-17	
MIA	MIA @ PHX	11/08/2017		W	48	126	43	81	53.1	12	30	40.0	28	35	80.0	11	42	53	21	15	5	4	25	11	
NOP	NOP @ IND	11/07/2017		W	48	117	44	87	50.6	14	35	40.0	15	22	68.2	11	32	43	23	13	6	5	18	5	
