,TEAM,MATCH UP,GAME DATE,MIN,EFG%,FTA RATE,TOV%,TOV,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_TOV,OPP_OREB%,OPP,Home/Away,REST,PTS,OPP_PTS,+/-,WIN,OPP_REST
1334,BKN,BKN vs. SAS,1/23/17,48,0.426,0.222,0.168,16.8,0.119,0.521,0.168,0.092,9.2,0.283,SAS,1,2,86,112,-26,0,2
1335,NOP,NOP vs. CLE,1/23/17,48,0.586,0.345,0.079,7.9,0.171,0.543,0.269,0.114,11.4,0.239,CLE,1,3,124,122,2,1,2
1336,CLE,CLE @ NOP,1/23/17,48,0.543,0.269,0.114,11.4,0.239,0.586,0.345,0.079,7.9,0.171,NOP,0,2,122,124,-2,0,3
1337,ATL,ATL vs. LAC,1/23/17,48,0.472,0.295,0.08,8,0.182,0.583,0.262,0.116,11.6,0.238,LAC,1,2,105,115,-10,0,2
1338,SAS,SAS @ BKN,1/23/17,48,0.521,0.168,0.092,9.2,0.283,0.426,0.222,0.168,16.8,0.119,BKN,0,2,112,86,26,1,2
1339,DET,DET vs. SAC,1/23/17,48,0.561,0.207,0.161,16.1,0.154,0.543,0.317,0.144,14.4,0.238,SAC,1,2,104,109,-5,0,2
1340,UTA,UTA vs. OKC,1/23/17,48,0.458,0.31,0.103,10.3,0.178,0.47,0.301,0.113,11.3,0.19,OKC,1,2,95,97,-2,0,5
1341,WAS,WAS @ CHA,1/23/17,48,0.6,0.213,0.154,15.4,0.139,0.433,0.278,0.082,8.2,0.222,CHA,0,2,109,99,10,1,2
1342,GSW,GSW @ MIA,1/23/17,48,0.511,0.227,0.135,13.5,0.171,0.517,0.314,0.147,14.7,0.234,MIA,0,1,102,105,-3,0,2
1343,IND,IND vs. NYK,1/23/17,48,0.483,0.291,0.109,10.9,0.159,0.513,0.461,0.149,14.9,0.167,NYK,1,2,103,109,-6,0,2
1344,SAS,SAS @ TOR,1/24/17,48,0.488,0.388,0.114,11.4,0.146,0.488,0.333,0.131,13.1,0.25,TOR,0,1,108,106,2,1,2
1345,BOS,BOS @ WAS,1/24/17,48,0.512,0.286,0.139,13.9,0.186,0.625,0.25,0.158,15.8,0.25,WAS,0,3,108,123,-15,0,1
1346,WAS,WAS vs. BOS,1/24/17,48,0.625,0.25,0.158,15.8,0.25,0.512,0.286,0.139,13.9,0.186,BOS,1,1,123,108,15,1,3
1347,MIN,MIN @ PHX,1/24/17,48,0.56,0.286,0.151,15.1,0.244,0.483,0.372,0.147,14.7,0.289,PHX,0,2,112,111,1,1,2
1348,TOR,TOR vs. SAS,1/24/17,48,0.488,0.333,0.131,13.1,0.25,0.488,0.388,0.114,11.4,0.146,SAS,1,2,106,108,-2,0,1
1349,LAC,LAC @ PHI,1/24/17,48,0.592,0.577,0.196,19.6,0.256,0.556,0.244,0.06,6,0.146,PHI,0,1,110,121,-11,0,3
1350,UTA,UTA @ DEN,1/24/17,48,0.453,0.247,0.122,12.2,0.182,0.526,0.408,0.145,14.5,0.179,DEN,0,1,93,103,-10,0,2
1351,PHI,PHI vs. LAC,1/24/17,48,0.556,0.244,0.06,6,0.146,0.592,0.577,0.196,19.6,0.256,LAC,1,3,121,110,11,1,1
1352,DEN,DEN vs. UTA,1/24/17,48,0.526,0.408,0.145,14.5,0.179,0.453,0.247,0.122,12.2,0.182,UTA,1,2,103,93,10,1,1
1353,ORL,ORL vs. CHI,1/24/17,48,0.453,0.235,0.188,18.8,0.24,0.5,0.39,0.134,13.4,0.143,CHI,1,2,92,100,-8,0,3
1354,PHX,PHX vs. MIN,1/24/17,48,0.483,0.372,0.147,14.7,0.289,0.56,0.286,0.151,15.1,0.244,MIN,1,2,111,112,-1,0,2
1355,CHI,CHI @ ORL,1/24/17,48,0.5,0.39,0.134,13.4,0.143,0.453,0.235,0.188,18.8,0.24,ORL,0,3,100,92,8,1,2
1356,OKC,OKC @ NOP,1/25/17,48,0.516,0.308,0.149,14.9,0.245,0.484,0.198,0.112,11.2,0.173,NOP,0,2,114,105,9,1,2
1357,GSW,GSW @ CHA,1/25/17,48,0.543,0.329,0.119,11.9,0.139,0.451,0.228,0.144,14.4,0.25,CHA,0,2,113,103,10,1,2
1358,ATL,ATL @ CHI,1/25/17,48,0.62,0.229,0.141,14.1,0.171,0.5,0.277,0.07,7,0.267,CHI,0,2,119,114,5,1,1
1359,MEM,MEM vs. TOR,1/25/17,48,0.526,0.321,0.111,11.1,0.22,0.478,0.207,0.093,9.3,0.265,TOR,1,4,101,99,2,1,1
1360,SAC,SAC @ CLE,1/25/17,53,0.511,0.232,0.114,11.4,0.244,0.579,0.415,0.177,17.7,0.265,CLE,0,2,116,112,4,1,2
1361,CHI,CHI vs. ATL,1/25/17,48,0.5,0.277,0.07,7,0.267,0.62,0.229,0.141,14.1,0.171,ATL,1,1,114,119,-5,0,2
1362,BOS,BOS vs. HOU,1/25/17,48,0.577,0.176,0.173,17.3,0.333,0.532,0.494,0.162,16.2,0.143,HOU,1,1,120,109,11,1,2
1363,MIL,MIL vs. PHI,1/25/17,48,0.5,0.253,0.181,18.1,0.306,0.613,0.333,0.238,23.8,0.29,PHI,1,2,109,114,-5,0,1
1364,CHA,CHA vs. GSW,1/25/17,48,0.451,0.228,0.144,14.4,0.25,0.543,0.329,0.119,11.9,0.139,GSW,1,2,103,113,-10,0,2
1365,MIA,MIA @ BKN,1/25/17,48,0.548,0.301,0.129,12.9,0.171,0.519,0.325,0.146,14.6,0.105,BKN,0,2,109,106,3,1,2
1366,POR,POR vs. LAL,1/25/17,48,0.5,0.222,0.109,10.9,0.196,0.452,0.149,0.148,14.8,0.259,LAL,1,4,105,98,7,1,3
1367,PHI,PHI @ MIL,1/25/17,48,0.613,0.333,0.238,23.8,0.29,0.5,0.253,0.181,18.1,0.306,MIL,0,1,114,109,5,1,2
1368,HOU,HOU @ BOS,1/25/17,48,0.532,0.494,0.162,16.2,0.143,0.577,0.176,0.173,17.3,0.333,BOS,0,2,109,120,-11,0,1
1369,TOR,TOR @ MEM,1/25/17,48,0.478,0.207,0.093,9.3,0.265,0.526,0.321,0.111,11.1,0.22,MEM,0,1,99,101,-2,0,4
1370,NYK,NYK @ DAL,1/25/17,48,0.462,0.13,0.185,18.5,0.383,0.506,0.289,0.075,7.5,0.159,DAL,0,2,95,103,-8,0,3
1371,CLE,CLE vs. SAC,1/25/17,53,0.579,0.415,0.177,17.7,0.265,0.511,0.232,0.114,11.4,0.244,SAC,1,2,112,116,-4,0,2
1372,LAL,LAL @ POR,1/25/17,48,0.452,0.149,0.148,14.8,0.259,0.5,0.222,0.109,10.9,0.196,POR,0,3,98,105,-7,0,4
1373,DAL,DAL vs. NYK,1/25/17,48,0.506,0.289,0.075,7.5,0.159,0.462,0.13,0.185,18.5,0.383,NYK,1,3,103,95,8,1,2
1374,NOP,NOP vs. OKC,1/25/17,48,0.484,0.198,0.112,11.2,0.173,0.516,0.308,0.149,14.9,0.245,OKC,1,2,105,114,-9,0,2
1375,BKN,BKN vs. MIA,1/25/17,48,0.519,0.325,0.146,14.6,0.105,0.548,0.301,0.129,12.9,0.171,MIA,1,2,106,109,-3,0,2
1376,PHX,PHX @ DEN,1/26/17,48,0.596,0.191,0.111,11.1,0.229,0.564,0.407,0.154,15.4,0.487,DEN,0,2,120,127,-7,0,2
1377,UTA,UTA vs. LAL,1/26/17,48,0.444,0.346,0.088,8.8,0.208,0.452,0.155,0.14,14,0.227,LAL,1,2,96,88,8,1,1
1378,OKC,OKC vs. DAL,1/26/17,48,0.576,0.5,0.174,17.4,0.2,0.518,0.155,0.128,12.8,0.182,DAL,1,1,109,98,11,1,1
1379,MIN,MIN vs. IND,1/26/17,48,0.506,0.333,0.13,13,0.136,0.58,0.21,0.187,18.7,0.176,IND,1,2,103,109,-6,0,3
1380,DAL,DAL @ OKC,1/26/17,48,0.518,0.155,0.128,12.8,0.182,0.576,0.5,0.174,17.4,0.2,OKC,0,1,98,109,-11,0,1
1381,LAL,LAL @ UTA,1/26/17,48,0.452,0.155,0.14,14,0.227,0.444,0.346,0.088,8.8,0.208,UTA,0,1,88,96,-8,0,2
1382,IND,IND @ MIN,1/26/17,48,0.58,0.21,0.187,18.7,0.176,0.506,0.333,0.13,13,0.136,MIN,0,3,109,103,6,1,2
1383,DEN,DEN vs. PHX,1/26/17,48,0.564,0.407,0.154,15.4,0.487,0.596,0.191,0.111,11.1,0.229,PHX,1,2,127,120,7,1,2
1384,TOR,TOR vs. MIL,1/27/17,48,0.5,0.274,0.163,16.3,0.279,0.431,0.3,0.195,19.5,0.255,MIL,1,2,102,86,16,1,2
1385,MIA,MIA @ CHI,1/27/17,48,0.511,0.124,0.121,12.1,0.171,0.442,0.321,0.208,20.8,0.214,CHI,0,2,100,88,12,1,2
1386,BKN,BKN @ CLE,1/27/17,48,0.586,0.184,0.109,10.9,0.095,0.603,0.217,0.132,13.2,0.214,CLE,0,2,116,124,-8,0,2
1387,CHA,CHA @ NYK,1/27/17,48,0.517,0.167,0.129,12.9,0.196,0.526,0.135,0.099,9.9,0.224,NYK,0,2,107,110,-3,0,2
1388,ATL,ATL vs. WAS,1/27/17,48,0.416,0.301,0.189,18.9,0.17,0.556,0.213,0.192,19.2,0.283,WAS,1,2,86,112,-26,0,3
1389,MEM,MEM @ POR,1/27/17,48,0.539,0.429,0.119,11.9,0.286,0.568,0.259,0.127,12.7,0.2,POR,0,2,109,112,-3,0,2
1390,NOP,NOP vs. SAS,1/27/17,48,0.586,0.151,0.141,14.1,0.304,0.459,0.341,0.123,12.3,0.235,SAS,1,2,119,103,16,1,3
1391,CHI,CHI vs. MIA,1/27/17,48,0.442,0.321,0.208,20.8,0.214,0.511,0.124,0.121,12.1,0.171,MIA,1,2,88,100,-12,0,2
1392,SAS,SAS @ NOP,1/27/17,48,0.459,0.341,0.123,12.3,0.235,0.586,0.151,0.141,14.1,0.304,NOP,0,3,103,119,-16,0,2
1393,SAC,SAC @ IND,1/27/17,53,0.593,0.514,0.2,20,0.313,0.551,0.423,0.105,10.5,0.175,IND,0,2,111,115,-4,0,1
1394,POR,POR vs. MEM,1/27/17,48,0.568,0.259,0.127,12.7,0.2,0.539,0.429,0.119,11.9,0.286,MEM,1,2,112,109,3,1,2
1395,NYK,NYK vs. CHA,1/27/17,48,0.526,0.135,0.099,9.9,0.224,0.517,0.167,0.129,12.9,0.196,CHA,1,2,110,107,3,1,2
1396,HOU,HOU @ PHI,1/27/17,48,0.593,0.346,0.223,22.3,0.188,0.603,0.41,0.198,19.8,0.079,PHI,0,2,123,118,5,1,2
1397,ORL,ORL @ BOS,1/27/17,48,0.489,0.207,0.12,12,0.149,0.652,0.169,0.101,10.1,0.184,BOS,0,3,98,128,-30,0,2
1398,MIL,MIL @ TOR,1/27/17,48,0.431,0.3,0.195,19.5,0.255,0.5,0.274,0.163,16.3,0.279,TOR,0,2,86,102,-16,0,2
1399,CLE,CLE vs. BKN,1/27/17,48,0.603,0.217,0.132,13.2,0.214,0.586,0.184,0.109,10.9,0.095,BKN,1,2,124,116,8,1,2
1400,WAS,WAS @ ATL,1/27/17,48,0.556,0.213,0.192,19.2,0.283,0.416,0.301,0.189,18.9,0.17,ATL,0,3,112,86,26,1,2
1401,IND,IND vs. SAC,1/27/17,53,0.551,0.423,0.105,10.5,0.175,0.593,0.514,0.2,20,0.313,SAC,1,1,115,111,4,1,2
1402,PHI,PHI vs. HOU,1/27/17,48,0.603,0.41,0.198,19.8,0.079,0.593,0.346,0.223,22.3,0.188,HOU,1,2,118,123,-5,0,2
1403,BOS,BOS vs. ORL,1/27/17,48,0.652,0.169,0.101,10.1,0.184,0.489,0.207,0.12,12,0.149,ORL,1,2,128,98,30,1,3
1404,LAC,LAC @ GSW,1/28/17,48,0.512,0.268,0.143,14.3,0.17,0.712,0.174,0.109,10.9,0.273,GSW,0,4,98,144,-46,0,3
1405,MIN,MIN vs. BKN,1/28/17,48,0.554,0.344,0.105,10.5,0.271,0.524,0.294,0.142,14.2,0.122,BKN,1,2,129,109,20,1,1
1406,MEM,MEM @ UTA,1/28/17,48,0.581,0.125,0.083,8.3,0.206,0.548,0.468,0.155,15.5,0.143,UTA,0,1,102,95,7,1,2
1407,BOS,BOS @ MIL,1/28/17,53,0.494,0.337,0.122,12.2,0.191,0.477,0.368,0.148,14.8,0.205,MIL,0,1,112,108,4,1,1
1408,MIA,MIA vs. DET,1/28/17,48,0.613,0.288,0.119,11.9,0.237,0.539,0.135,0.129,12.9,0.31,DET,1,1,116,103,13,1,5
1409,UTA,UTA vs. MEM,1/28/17,48,0.548,0.468,0.155,15.5,0.143,0.581,0.125,0.083,8.3,0.206,MEM,1,2,95,102,-7,0,1
1410,SAC,SAC @ CHA,1/28/17,48,0.589,0.329,0.108,10.8,0.229,0.56,0.32,0.123,12.3,0.189,CHA,0,1,109,106,3,1,1
1411,MIL,MIL vs. BOS,1/28/17,53,0.477,0.368,0.148,14.8,0.205,0.494,0.337,0.122,12.2,0.191,BOS,1,1,108,112,-4,0,1
1412,BKN,BKN @ MIN,1/28/17,48,0.524,0.294,0.142,14.2,0.122,0.554,0.344,0.105,10.5,0.271,MIN,0,1,109,129,-20,0,2
1413,CHA,CHA vs. SAC,1/28/17,48,0.56,0.32,0.123,12.3,0.189,0.589,0.329,0.108,10.8,0.229,SAC,1,1,106,109,-3,0,1
1414,PHX,PHX vs. DEN,1/28/17,48,0.484,0.352,0.105,10.5,0.22,0.538,0.525,0.144,14.4,0.22,DEN,1,2,112,123,-11,0,2
1415,DET,DET @ MIA,1/28/17,48,0.539,0.135,0.129,12.9,0.31,0.613,0.288,0.119,11.9,0.237,MIA,0,5,103,116,-13,0,1
1416,DEN,DEN @ PHX,1/28/17,48,0.538,0.525,0.144,14.4,0.22,0.484,0.352,0.105,10.5,0.22,PHX,0,2,123,112,11,1,2
1417,GSW,GSW vs. LAC,1/28/17,48,0.712,0.174,0.109,10.9,0.273,0.512,0.268,0.143,14.3,0.17,LAC,1,3,144,98,46,1,4
1418,PHI,PHI @ CHI,1/29/17,48,0.495,0.141,0.121,12.1,0.22,0.551,0.315,0.116,11.6,0.238,CHI,0,2,108,121,-13,0,2
1419,POR,POR vs. GSW,1/29/17,48,0.548,0.129,0.168,16.8,0.225,0.506,0.494,0.17,17,0.195,GSW,1,2,111,113,-2,0,1
1420,IND,IND vs. HOU,1/29/17,48,0.569,0.299,0.099,9.9,0.189,0.476,0.301,0.153,15.3,0.239,HOU,1,2,120,101,19,1,2
1421,SAS,SAS vs. DAL,1/29/17,48,0.518,0.277,0.111,11.1,0.125,0.517,0.184,0.074,7.4,0.13,DAL,1,2,101,105,-4,0,3
1422,WAS,WAS @ NOP,1/29/17,48,0.562,0.112,0.117,11.7,0.238,0.512,0.179,0.157,15.7,0.222,NOP,0,2,107,94,13,1,2
1423,GSW,GSW @ POR,1/29/17,48,0.506,0.494,0.17,17,0.195,0.548,0.129,0.168,16.8,0.225,POR,0,1,113,111,2,1,2
1424,ORL,ORL @ TOR,1/29/17,48,0.595,0.329,0.124,12.4,0.162,0.532,0.456,0.132,13.2,0.231,TOR,0,2,114,113,1,1,2
1425,NYK,NYK @ ATL,1/29/17,68,0.469,0.18,0.102,10.2,0.242,0.479,0.336,0.105,10.5,0.262,ATL,0,2,139,142,-3,0,2
1426,TOR,TOR vs. ORL,1/29/17,48,0.532,0.456,0.132,13.2,0.231,0.595,0.329,0.124,12.4,0.162,ORL,1,2,113,114,-1,0,2
1427,ATL,ATL vs. NYK,1/29/17,68,0.479,0.336,0.105,10.5,0.262,0.469,0.18,0.102,10.2,0.242,NYK,1,2,142,139,3,1,2
1428,NOP,NOP vs. WAS,1/29/17,48,0.512,0.179,0.157,15.7,0.222,0.562,0.112,0.117,11.7,0.238,WAS,1,2,94,107,-13,0,2
1429,CHI,CHI vs. PHI,1/29/17,48,0.551,0.315,0.116,11.6,0.238,0.495,0.141,0.121,12.1,0.22,PHI,1,2,121,108,13,1,2
1430,OKC,OKC @ CLE,1/29/17,48,0.4,0.16,0.145,14.5,0.232,0.489,0.239,0.096,9.6,0.16,CLE,0,3,91,107,-16,0,2
1431,CLE,CLE vs. OKC,1/29/17,48,0.489,0.239,0.096,9.6,0.16,0.4,0.16,0.145,14.5,0.232,OKC,1,2,107,91,16,1,3
1432,DAL,DAL @ SAS,1/29/17,48,0.517,0.184,0.074,7.4,0.13,0.518,0.277,0.111,11.1,0.125,SAS,0,3,105,101,4,1,2
1433,HOU,HOU @ IND,1/29/17,48,0.476,0.301,0.153,15.3,0.239,0.569,0.299,0.099,9.9,0.189,IND,0,2,101,120,-19,0,2
1434,SAC,SAC @ PHI,1/30/17,48,0.642,0.392,0.213,21.3,0.31,0.608,0.313,0.158,15.8,0.273,PHI,0,2,119,122,-3,0,1
1435,BOS,BOS vs. DET,1/30/17,48,0.518,0.402,0.099,9.9,0.133,0.459,0.299,0.067,6.7,0.24,DET,1,2,113,109,4,1,2
1436,MIA,MIA vs. BKN,1/30/17,48,0.543,0.28,0.112,11.2,0.116,0.448,0.253,0.164,16.4,0.341,BKN,1,2,104,96,8,1,2
1437,DET,DET @ BOS,1/30/17,48,0.459,0.299,0.067,6.7,0.24,0.518,0.402,0.099,9.9,0.133,BOS,0,2,109,113,-4,0,2
1438,DAL,DAL vs. CLE,1/30/17,48,0.506,0.209,0.096,9.6,0.2,0.547,0.28,0.178,17.8,0.162,CLE,1,1,104,97,7,1,1
1439,MIN,MIN vs. ORL,1/30/17,53,0.505,0.286,0.114,11.4,0.196,0.479,0.198,0.105,10.5,0.212,ORL,1,2,111,105,6,1,1
1440,CLE,CLE @ DAL,1/30/17,48,0.547,0.28,0.178,17.8,0.162,0.506,0.209,0.096,9.6,0.2,DAL,0,1,97,104,-7,0,1
1441,MEM,MEM @ PHX,1/30/17,48,0.588,0.3,0.183,18.3,0.256,0.453,0.527,0.179,17.9,0.277,PHX,0,2,115,96,19,1,2
1442,BKN,BKN @ MIA,1/30/17,48,0.448,0.253,0.164,16.4,0.341,0.543,0.28,0.112,11.2,0.116,MIA,0,2,96,104,-8,0,2
1443,PHI,PHI vs. SAC,1/30/17,48,0.608,0.313,0.158,15.8,0.273,0.642,0.392,0.213,21.3,0.31,SAC,1,1,122,119,3,1,2
1444,ORL,ORL @ MIN,1/30/17,53,0.479,0.198,0.105,10.5,0.212,0.505,0.286,0.114,11.4,0.196,MIN,0,1,105,111,-6,0,2
1445,PHX,PHX vs. MEM,1/30/17,48,0.453,0.527,0.179,17.9,0.277,0.588,0.3,0.183,18.3,0.256,MEM,1,2,96,115,-19,0,2
1446,SAS,SAS vs. OKC,1/31/17,48,0.471,0.442,0.155,15.5,0.208,0.394,0.376,0.187,18.7,0.231,OKC,1,2,108,94,14,1,2
1447,TOR,TOR vs. NOP,1/31/17,53,0.511,0.16,0.146,14.6,0.277,0.489,0.202,0.127,12.7,0.241,NOP,1,2,108,106,2,1,2
1448,DEN,DEN @ LAL,1/31/17,48,0.49,0.232,0.11,11,0.37,0.596,0.202,0.147,14.7,0.244,LAL,0,3,116,120,-4,0,5
1449,NOP,NOP @ TOR,1/31/17,53,0.489,0.202,0.127,12.7,0.241,0.511,0.16,0.146,14.6,0.277,TOR,0,2,106,108,-2,0,2
1450,LAL,LAL vs. DEN,1/31/17,48,0.596,0.202,0.147,14.7,0.244,0.49,0.232,0.11,11,0.37,DEN,1,5,120,116,4,1,3
1451,HOU,HOU vs. SAC,1/31/17,48,0.529,0.259,0.143,14.3,0.239,0.395,0.302,0.112,11.2,0.169,SAC,1,2,105,83,22,1,1
1452,CHA,CHA @ POR,1/31/17,48,0.464,0.301,0.099,9.9,0.07,0.511,0.247,0.08,8,0.22,POR,0,3,98,115,-17,0,2
1453,NYK,NYK @ WAS,1/31/17,48,0.392,0.376,0.122,12.2,0.373,0.597,0.17,0.123,12.3,0.237,WAS,0,2,101,117,-16,0,2
1454,SAC,SAC @ HOU,1/31/17,48,0.395,0.302,0.112,11.2,0.169,0.529,0.259,0.143,14.3,0.239,HOU,0,1,83,105,-22,0,2
1455,OKC,OKC @ SAS,1/31/17,48,0.394,0.376,0.187,18.7,0.231,0.471,0.442,0.155,15.5,0.208,SAS,0,2,94,108,-14,0,2
1456,POR,POR vs. CHA,1/31/17,48,0.511,0.247,0.08,8,0.22,0.464,0.301,0.099,9.9,0.07,CHA,1,2,115,98,17,1,3
1457,WAS,WAS vs. NYK,1/31/17,48,0.597,0.17,0.123,12.3,0.237,0.392,0.376,0.122,12.2,0.373,NYK,1,2,117,101,16,1,2
1458,TOR,TOR @ BOS,2/1/17,48,0.577,0.321,0.165,16.5,0.229,0.483,0.345,0.102,10.2,0.267,BOS,0,1,104,109,-5,0,2
1459,PHX,PHX vs. LAC,2/1/17,48,0.443,0.365,0.113,11.3,0.309,0.547,0.447,0.096,9.6,0.229,LAC,1,2,114,124,-10,0,4
1460,DET,DET vs. NOP,2/1/17,48,0.602,0.193,0.1,10,0.135,0.53,0.171,0.15,15,0.075,NOP,1,2,118,98,20,1,1
1461,CHI,CHI @ OKC,2/1/17,48,0.642,0.37,0.091,9.1,0.133,0.43,0.17,0.085,8.5,0.224,OKC,0,3,128,100,28,1,1
1462,DEN,DEN vs. MEM,2/1/17,48,0.456,0.438,0.168,16.8,0.239,0.565,0.217,0.082,8.2,0.244,MEM,1,1,99,119,-20,0,2
1463,UTA,UTA vs. MIL,2/1/17,48,0.532,0.346,0.169,16.9,0.268,0.5,0.342,0.185,18.5,0.205,MIL,1,4,104,88,16,1,4
1464,OKC,OKC vs. CHI,2/1/17,48,0.43,0.17,0.085,8.5,0.224,0.642,0.37,0.091,9.1,0.133,CHI,1,1,100,128,-28,0,3
1465,MIL,MIL @ UTA,2/1/17,48,0.5,0.342,0.185,18.5,0.205,0.532,0.346,0.169,16.9,0.268,UTA,0,4,88,104,-16,0,4
1466,NYK,NYK @ BKN,2/1/17,48,0.384,0.313,0.124,12.4,0.362,0.449,0.182,0.202,20.2,0.245,BKN,0,1,95,90,5,1,2
1467,BOS,BOS vs. TOR,2/1/17,48,0.483,0.345,0.102,10.2,0.267,0.577,0.321,0.165,16.5,0.229,TOR,1,2,109,104,5,1,1
1468,MIN,MIN @ CLE,2/1/17,48,0.473,0.106,0.131,13.1,0.25,0.624,0.247,0.103,10.3,0.316,CLE,0,2,97,125,-28,0,2
1469,PHI,PHI @ DAL,2/1/17,48,0.494,0.338,0.135,13.5,0.122,0.523,0.326,0.117,11.7,0.306,DAL,0,2,95,113,-18,0,2
1470,NOP,NOP @ DET,2/1/17,48,0.53,0.171,0.15,15,0.075,0.602,0.193,0.1,10,0.135,DET,0,1,98,118,-20,0,2
1471,IND,IND @ ORL,2/1/17,48,0.543,0.377,0.193,19.3,0.152,0.442,0.364,0.163,16.3,0.175,ORL,0,3,98,88,10,1,2
1472,DAL,DAL vs. PHI,2/1/17,48,0.523,0.326,0.117,11.7,0.306,0.494,0.338,0.135,13.5,0.122,PHI,1,2,113,95,18,1,2
1473,ORL,ORL vs. IND,2/1/17,48,0.442,0.364,0.163,16.3,0.175,0.543,0.377,0.193,19.3,0.152,IND,1,2,88,98,-10,0,3
1474,CHA,CHA @ GSW,2/1/17,48,0.494,0.295,0.097,9.7,0.136,0.599,0.146,0.097,9.7,0.188,GSW,0,1,111,126,-15,0,3
1475,CLE,CLE vs. MIN,2/1/17,48,0.624,0.247,0.103,10.3,0.316,0.473,0.106,0.131,13.1,0.25,MIN,1,2,125,97,28,1,2
1476,GSW,GSW vs. CHA,2/1/17,48,0.599,0.146,0.097,9.7,0.188,0.494,0.295,0.097,9.7,0.136,CHA,1,3,126,111,15,1,1
1477,MEM,MEM @ DEN,2/1/17,48,0.565,0.217,0.082,8.2,0.244,0.456,0.438,0.168,16.8,0.239,DEN,0,2,119,99,20,1,1
1478,BKN,BKN vs. NYK,2/1/17,48,0.449,0.182,0.202,20.2,0.245,0.384,0.313,0.124,12.4,0.362,NYK,1,2,90,95,-5,0,1
1479,MIA,MIA vs. ATL,2/1/17,48,0.548,0.204,0.125,12.5,0.227,0.436,0.244,0.156,15.6,0.196,ATL,1,2,116,93,23,1,3
1480,LAC,LAC @ PHX,2/1/17,48,0.547,0.447,0.096,9.6,0.229,0.443,0.365,0.113,11.3,0.309,PHX,0,4,124,114,10,1,2
1481,ATL,ATL @ MIA,2/1/17,48,0.436,0.244,0.156,15.6,0.196,0.548,0.204,0.125,12.5,0.227,MIA,0,3,93,116,-23,0,2
1482,WAS,WAS vs. LAL,2/2/17,48,0.521,0.219,0.114,11.4,0.255,0.529,0.253,0.191,19.1,0.267,LAL,1,2,116,108,8,1,2
1483,ATL,ATL @ HOU,2/2/17,48,0.565,0.271,0.194,19.4,0.211,0.446,0.355,0.082,8.2,0.127,HOU,0,1,113,108,5,1,2
1484,PHI,PHI @ SAS,2/2/17,48,0.392,0.261,0.203,20.3,0.211,0.461,0.303,0.179,17.9,0.292,SAS,0,1,86,102,-16,0,2
1485,LAC,LAC vs. GSW,2/2/17,48,0.563,0.488,0.145,14.5,0.225,0.596,0.182,0.115,11.5,0.349,GSW,1,1,120,133,-13,0,1
1486,LAL,LAL @ WAS,2/2/17,48,0.529,0.253,0.191,19.1,0.267,0.521,0.219,0.114,11.4,0.255,WAS,0,2,108,116,-8,0,2
1487,GSW,GSW @ LAC,2/2/17,48,0.596,0.182,0.115,11.5,0.349,0.563,0.488,0.145,14.5,0.225,LAC,0,1,133,120,13,1,1
1488,SAS,SAS vs. PHI,2/2/17,48,0.461,0.303,0.179,17.9,0.292,0.392,0.261,0.203,20.3,0.211,PHI,1,2,102,86,16,1,1
1489,HOU,HOU vs. ATL,2/2/17,48,0.446,0.355,0.082,8.2,0.127,0.565,0.271,0.194,19.4,0.211,ATL,1,2,108,113,-5,0,1
1490,POR,POR vs. DAL,2/3/17,48,0.506,0.227,0.096,9.6,0.261,0.586,0.303,0.077,7.7,0.059,DAL,1,3,104,108,-4,0,2
1491,ORL,ORL vs. TOR,2/3/17,48,0.494,0.4,0.117,11.7,0.262,0.448,0.241,0.135,13.5,0.271,TOR,1,2,102,94,8,1,2
1492,MIN,MIN @ DET,2/3/17,48,0.522,0.213,0.131,13.1,0.262,0.505,0.224,0.109,10.9,0.383,DET,0,2,108,116,-8,0,2
1493,OKC,OKC vs. MEM,2/3/17,48,0.556,0.413,0.203,20.3,0.432,0.5,0.265,0.124,12.4,0.205,MEM,1,2,114,102,12,1,2
1494,LAL,LAL @ BOS,2/3/17,48,0.468,0.277,0.117,11.7,0.273,0.555,0.341,0.155,15.5,0.159,BOS,0,1,107,113,-6,0,2
1495,BOS,BOS vs. LAL,2/3/17,48,0.555,0.341,0.155,15.5,0.159,0.468,0.277,0.117,11.7,0.273,LAL,1,2,113,107,6,1,1
1496,IND,IND @ BKN,2/3/17,48,0.477,0.36,0.162,16.2,0.255,0.436,0.267,0.179,17.9,0.196,BKN,0,2,106,97,9,1,2
1497,CHI,CHI @ HOU,2/3/17,53,0.52,0.18,0.138,13.8,0.259,0.531,0.255,0.106,10.6,0.17,HOU,0,2,117,121,-4,0,1
1498,SAC,SAC vs. PHX,2/3/17,48,0.506,0.259,0.128,12.8,0.154,0.494,0.455,0.122,12.2,0.14,PHX,1,3,103,105,-2,0,2
1499,DAL,DAL @ POR,2/3/17,48,0.586,0.303,0.077,7.7,0.059,0.506,0.227,0.096,9.6,0.261,POR,0,2,108,104,4,1,3
1500,MIL,MIL @ DEN,2/3/17,48,0.596,0.277,0.171,17.1,0.167,0.5,0.494,0.142,14.2,0.36,DEN,0,2,117,121,-4,0,2
1501,HOU,HOU vs. CHI,2/3/17,53,0.531,0.255,0.106,10.6,0.17,0.52,0.18,0.138,13.8,0.259,CHI,1,1,121,117,4,1,2
