,TEAM,MATCH UP,GAME DATE,MIN,EFG%,FTA RATE,TOV%,TOV,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_TOV,OPP_OREB%,OPP,Home/Away,REST,PTS,OPP_PTS,+/-,WIN,OPP_REST
48,PHX,PHX @ OKC,10/28/16,53,0.473,0.34,0.129,12.9,0.14,0.443,0.396,0.182,18.2,0.275,OKC,0,2,110,113,-3,0,2
49,HOU,HOU @ DAL,10/28/16,48,0.579,0.443,0.195,19.5,0.152,0.488,0.3,0.106,10.6,0.143,DAL,0,2,106,98,8,1,2
50,BKN,BKN @ MIL,10/29/16,48,0.506,0.333,0.174,17.4,0.234,0.511,0.273,0.134,13.4,0.19,MIL,0,1,108,110,-2,0,3
51,NOP,NOP @ SAS,10/29/16,48,0.395,0.174,0.105,10.5,0.137,0.482,0.277,0.103,10.3,0.136,SAS,0,1,79,98,-19,0,2
52,BOS,BOS @ CHA,10/29/16,48,0.574,0.21,0.133,13.3,0.111,0.462,0.418,0.093,9.3,0.136,CHA,0,2,104,98,6,1,1
53,IND,IND @ CHI,10/29/16,48,0.528,0.102,0.134,13.4,0.19,0.576,0.244,0.127,12.7,0.342,CHI,0,1,101,118,-17,0,2
54,MIL,MIL vs. BKN,10/29/16,48,0.511,0.273,0.134,13.4,0.19,0.506,0.333,0.174,17.4,0.234,BKN,1,3,110,108,2,1,1
55,SAS,SAS vs. NOP,10/29/16,48,0.482,0.277,0.103,10.3,0.136,0.395,0.174,0.105,10.5,0.137,NOP,1,2,98,79,19,1,1
56,DEN,DEN vs. POR,10/29/16,53,0.41,0.39,0.144,14.4,0.286,0.51,0.214,0.135,13.5,0.1,POR,1,3,113,115,-2,0,2
57,MIN,MIN @ SAC,10/29/16,48,0.579,0.443,0.154,15.4,0.259,0.512,0.294,0.133,13.3,0.275,SAC,0,3,103,106,-3,0,2
58,CLE,CLE vs. ORL,10/29/16,48,0.472,0.341,0.093,9.3,0.26,0.5,0.31,0.203,20.3,0.325,ORL,1,1,105,99,6,1,1
59,MEM,MEM @ NYK,10/29/16,48,0.483,0.302,0.122,12.2,0.239,0.566,0.513,0.13,13,0.171,NYK,0,3,104,111,-7,0,4
60,PHI,PHI vs. ATL,10/29/16,48,0.381,0.188,0.195,19.5,0.089,0.524,0.271,0.119,11.9,0.146,ATL,1,3,72,104,-32,0,2
61,CHI,CHI vs. IND,10/29/16,48,0.576,0.244,0.127,12.7,0.342,0.528,0.102,0.134,13.4,0.19,IND,1,2,118,101,17,1,1
62,NYK,NYK vs. MEM,10/29/16,48,0.566,0.513,0.13,13,0.171,0.483,0.302,0.122,12.2,0.239,MEM,1,4,111,104,7,1,3
63,POR,POR @ DEN,10/29/16,53,0.51,0.214,0.135,13.5,0.1,0.41,0.39,0.144,14.4,0.286,DEN,0,2,115,113,2,1,3
64,ORL,ORL @ CLE,10/29/16,48,0.5,0.31,0.203,20.3,0.325,0.472,0.341,0.093,9.3,0.26,CLE,0,1,99,105,-6,0,1
65,CHA,CHA vs. BOS,10/29/16,48,0.462,0.418,0.093,9.3,0.136,0.574,0.21,0.133,13.3,0.111,BOS,1,1,98,104,-6,0,2
66,ATL,ATL @ PHI,10/29/16,48,0.524,0.271,0.119,11.9,0.146,0.381,0.188,0.195,19.5,0.089,PHI,0,2,104,72,32,1,3
67,SAC,SAC vs. MIN,10/29/16,48,0.512,0.294,0.133,13.3,0.275,0.579,0.443,0.154,15.4,0.259,MIN,1,2,106,103,3,1,3
68,MIL,MIL @ DET,10/30/16,48,0.414,0.161,0.126,12.6,0.192,0.472,0.227,0.165,16.5,0.348,DET,0,1,83,98,-15,0,2
69,DET,DET vs. MIL,10/30/16,48,0.472,0.227,0.165,16.5,0.348,0.414,0.161,0.126,12.6,0.192,MIL,1,2,98,83,15,1,1
70,LAC,LAC vs. UTA,10/30/16,48,0.446,0.241,0.143,14.3,0.28,0.445,0.178,0.201,20.1,0.167,UTA,1,3,88,75,13,1,2
71,OKC,OKC vs. LAL,10/30/16,48,0.521,0.179,0.178,17.8,0.25,0.443,0.276,0.203,20.3,0.239,LAL,1,2,113,96,17,1,2
72,GSW,GSW @ PHX,10/30/16,48,0.47,0.398,0.15,15,0.152,0.456,0.278,0.118,11.8,0.234,PHX,0,2,106,100,6,1,2
73,SAS,SAS @ MIA,10/30/16,48,0.512,0.317,0.159,15.9,0.318,0.506,0.325,0.123,12.3,0.167,MIA,0,1,106,99,7,1,2
74,UTA,UTA @ LAC,10/30/16,48,0.445,0.178,0.201,20.1,0.167,0.446,0.241,0.143,14.3,0.28,LAC,0,2,75,88,-13,0,3
75,MIA,MIA vs. SAS,10/30/16,48,0.506,0.325,0.123,12.3,0.167,0.512,0.317,0.159,15.9,0.318,SAS,1,2,99,106,-7,0,1
76,LAL,LAL @ OKC,10/30/16,48,0.443,0.276,0.203,20.3,0.239,0.521,0.179,0.178,17.8,0.25,OKC,0,2,96,113,-17,0,2
77,PHX,PHX vs. GSW,10/30/16,48,0.456,0.278,0.118,11.8,0.234,0.47,0.398,0.15,15,0.152,GSW,1,2,100,106,-6,0,2
78,HOU,HOU vs. DAL,10/30/16,48,0.488,0.259,0.173,17.3,0.231,0.436,0.233,0.137,13.7,0.255,DAL,1,2,93,92,1,1,2
79,DAL,DAL @ HOU,10/30/16,48,0.436,0.233,0.137,13.7,0.255,0.488,0.259,0.173,17.3,0.231,HOU,0,2,92,93,-1,0,2
80,WAS,WAS @ MEM,10/30/16,53,0.471,0.291,0.136,13.6,0.182,0.528,0.295,0.137,13.7,0.256,MEM,0,3,103,112,-9,0,1
81,MEM,MEM vs. WAS,10/30/16,53,0.528,0.295,0.137,13.7,0.256,0.471,0.291,0.136,13.6,0.182,WAS,1,1,112,103,9,1,3
82,ATL,ATL vs. SAC,10/31/16,48,0.487,0.595,0.136,13.6,0.347,0.547,0.253,0.197,19.7,0.188,SAC,1,2,106,95,11,1,2
83,BKN,BKN vs. CHI,10/31/16,48,0.37,0.219,0.144,14.4,0.262,0.567,0.202,0.192,19.2,0.31,CHI,1,2,88,118,-30,0,2
84,PHX,PHX @ LAC,10/31/16,48,0.446,0.369,0.193,19.3,0.204,0.538,0.475,0.149,14.9,0.128,LAC,0,1,98,116,-18,0,1
85,SAC,SAC @ ATL,10/31/16,48,0.547,0.253,0.197,19.7,0.188,0.487,0.595,0.136,13.6,0.347,ATL,0,2,95,106,-11,0,2
86,DEN,DEN @ TOR,10/31/16,48,0.463,0.432,0.086,8.6,0.256,0.489,0.284,0.083,8.3,0.239,TOR,0,2,102,105,-3,0,3
87,CHI,CHI @ BKN,10/31/16,48,0.567,0.202,0.192,19.2,0.31,0.37,0.219,0.144,14.4,0.262,BKN,0,2,118,88,30,1,2
88,LAC,LAC vs. PHX,10/31/16,48,0.538,0.475,0.149,14.9,0.128,0.446,0.369,0.193,19.3,0.204,PHX,1,1,116,98,18,1,1
89,TOR,TOR vs. DEN,10/31/16,48,0.489,0.284,0.083,8.3,0.239,0.463,0.432,0.086,8.6,0.256,DEN,1,3,105,102,3,1,2
90,MIN,MIN vs. MEM,11/1/16,48,0.628,0.295,0.212,21.2,0.294,0.387,0.387,0.208,20.8,0.167,MEM,1,3,116,80,36,1,2
91,UTA,UTA @ SAS,11/1/16,48,0.599,0.237,0.118,11.8,0.063,0.474,0.276,0.11,11,0.098,SAS,0,2,106,91,15,1,2
92,CLE,CLE vs. HOU,11/1/16,48,0.614,0.373,0.115,11.5,0.364,0.572,0.278,0.072,7.2,0.244,HOU,1,3,128,120,8,1,2
93,NOP,NOP vs. MIL,11/1/16,48,0.494,0.5,0.125,12.5,0.191,0.538,0.231,0.152,15.2,0.25,MIL,1,3,113,117,-4,0,2
94,LAL,LAL @ IND,11/1/16,48,0.483,0.281,0.183,18.3,0.256,0.529,0.333,0.161,16.1,0.25,IND,0,2,108,115,-7,0,3
95,PHI,PHI vs. ORL,11/1/16,48,0.549,0.198,0.165,16.5,0.206,0.484,0.183,0.102,10.2,0.255,ORL,1,3,101,103,-2,0,3
96,IND,IND vs. LAL,11/1/16,48,0.529,0.333,0.161,16.1,0.25,0.483,0.281,0.183,18.3,0.256,LAL,1,3,115,108,7,1,2
97,GSW,GSW @ POR,11/1/16,48,0.618,0.258,0.148,14.8,0.212,0.512,0.244,0.168,16.8,0.136,POR,0,2,127,104,23,1,3
98,MEM,MEM @ MIN,11/1/16,48,0.387,0.387,0.208,20.8,0.167,0.628,0.295,0.212,21.2,0.294,MIN,0,2,80,116,-36,0,3
99,SAC,SAC @ MIA,11/1/16,53,0.41,0.303,0.14,14,0.188,0.506,0.337,0.155,15.5,0.12,MIA,0,1,96,108,-12,0,2
100,HOU,HOU @ CLE,11/1/16,48,0.572,0.278,0.072,7.2,0.244,0.614,0.373,0.115,11.5,0.364,CLE,0,2,120,128,-8,0,3
101,ORL,ORL @ PHI,11/1/16,48,0.484,0.183,0.102,10.2,0.255,0.549,0.198,0.165,16.5,0.206,PHI,0,3,103,101,2,1,3
102,MIA,MIA vs. SAC,11/1/16,53,0.506,0.337,0.155,15.5,0.12,0.41,0.303,0.14,14,0.188,SAC,1,2,108,96,12,1,1
103,MIL,MIL @ NOP,11/1/16,48,0.538,0.231,0.152,15.2,0.25,0.494,0.5,0.125,12.5,0.191,NOP,0,2,117,113,4,1,3
104,POR,POR vs. GSW,11/1/16,48,0.512,0.244,0.168,16.8,0.136,0.618,0.258,0.148,14.8,0.212,GSW,1,3,104,127,-23,0,2
105,DET,DET vs. NYK,11/1/16,48,0.506,0.236,0.111,11.1,0.222,0.448,0.174,0.124,12.4,0.174,NYK,1,2,102,89,13,1,3
