,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV%,OPP_OREB%,OPP,REST,OPP_REST,W/L,Home/Away,+/-
61,BOS,11/03/2017,48,50.6%,0.28600000000000003,11.6,22.9%,47.7%,0.161,12.7,22.4%,OKC,2,3,1,0,7
62,BOS,11/05/2017,48,50.0%,0.225,13.6,20.5%,39.6%,0.198,12.8,18.2%,ORL,2,2,1,0,16
63,BOS,11/06/2017,48,56.8%,0.272,14.3,18.4%,56.2%,0.247,14.2,12.5%,ATL,1,1,1,0,3
64,BOS,11/08/2017,48,42.3%,0.316,12.8,30.8%,46.5%,0.271,20.2,27.3%,LAL,2,3,1,1,11
65,BOS,11/10/2017,48,41.1%,0.298,13.1,18.4%,42.5%,0.413,13.8,14.9%,CHA,2,3,1,1,3
66,BOS,11/12/2017,48,46.0%,0.218,15.7,33.3%,53.6%,0.33299999999999996,18.9,16.2%,TOR,2,3,1,1,1
67,BOS,11/14/2017,48,50.6%,0.314,13.6,20.9%,52.3%,0.182,14.8,18.4%,BKN,2,3,1,0,7
68,BOS,11/16/2017,48,37.3%,0.48100000000000004,14.5,14.9%,46.3%,0.23199999999999998,15.3,13.5%,GSW,2,3,1,1,4
69,BOS,11/18/2017,48,57.3%,0.244,16.4,23.7%,53.2%,0.256,14.8,15.8%,ATL,2,3,1,0,11
70,BOS,11/20/2017,53,53.0%,0.31,15.8,11.9%,44.3%,0.20800000000000002,10.2,14.3%,DAL,2,2,1,0,8
71,BOS,11/22/2017,48,47.0%,0.321,11.0,14.6%,55.6%,0.198,16.5,18.9%,MIA,2,3,0,0,-6
72,BOS,11/24/2017,48,55.5%,0.275,9.2,27.1%,47.9%,0.2,12.1,32.7%,ORL,2,2,1,1,15
73,BOS,11/25/2017,48,62.5%,0.113,15.8,13.3%,53.2%,0.192,21.1,27.8%,IND,1,1,1,0,10
74,BOS,11/27/2017,48,62.3%,0.273,17.3,13.5%,58.2%,0.271,8.4,20.5%,DET,2,3,0,1,-10
75,BOS,11/30/2017,48,58.2%,0.253,17.4,18.9%,51.2%,0.214,19.8,31.3%,PHI,3,1,1,1,11
76,BOS,12/02/2017,48,61.3%,0.28800000000000003,9.5,11.4%,51.0%,0.109,11.8,37.2%,PHX,2,3,1,1,5
77,BOS,12/04/2017,48,61.5%,0.244,16.1,24.2%,50.6%,0.308,10.5,7.5%,MIL,2,2,1,1,11
78,BOS,12/06/2017,48,48.3%,0.195,12.3,18.8%,44.8%,0.198,11.2,12.0%,DAL,2,2,1,1,7
79,BOS,12/08/2017,48,52.4%,0.205,15.0,25.6%,51.9%,0.29600000000000004,14.4,33.3%,SAS,2,2,0,0,-3
80,BOS,12/10/2017,48,48.7%,0.228,15.2,20.5%,39.3%,0.226,10.9,21.2%,DET,2,2,1,0,10
81,BOS,12/11/2017,48,45.8%,0.16899999999999998,17.0,23.4%,55.6%,0.309,9.9,22.2%,CHI,1,2,0,0,-23
82,CHA,10/18/2017,48,45.9%,0.397,17.0,7.3%,47.4%,0.125,8.9,17.0%,DET,0,0,0,0,-12
83,CHA,10/20/2017,48,49.4%,0.349,19.4,27.3%,41.6%,0.147,12.0,11.8%,ATL,2,2,1,1,18
84,CHA,10/23/2017,48,46.8%,0.462,14.3,21.3%,52.4%,0.188,13.0,11.6%,MIL,3,2,0,0,-9
85,CHA,10/25/2017,48,54.9%,0.321,14.5,23.3%,42.0%,0.15,13.6,31.0%,DEN,2,2,1,1,17
86,CHA,10/27/2017,48,43.8%,0.318,9.2,20.0%,57.6%,0.153,16.0,17.5%,HOU,2,2,0,1,-16
87,CHA,10/29/2017,48,57.7%,0.175,15.5,28.6%,47.9%,0.268,10.0,16.1%,ORL,2,2,1,1,7
88,CHA,10/30/2017,48,45.5%,0.326,11.6,21.3%,38.7%,0.355,6.8,19.3%,MEM,1,2,1,0,5
89,CHA,11/01/2017,48,61.9%,0.345,10.9,18.4%,59.9%,0.165,13.6,20.9%,MIL,2,1,1,1,5
90,CHA,11/03/2017,48,46.3%,0.525,12.1,22.4%,52.4%,0.313,15.5,16.7%,SAS,2,1,0,0,-7
91,CHA,11/05/2017,48,46.6%,0.23600000000000002,11.1,19.2%,51.8%,0.361,16.0,28.6%,MIN,2,1,0,0,-18
92,CHA,11/07/2017,48,54.4%,0.187,13.8,37.0%,68.0%,0.28,17.0,20.7%,NYK,2,2,0,0,-5
93,CHA,11/10/2017,48,42.5%,0.413,13.8,14.9%,41.1%,0.298,13.1,18.4%,BOS,3,2,0,0,-3
94,CHA,11/15/2017,48,51.2%,0.326,12.6,18.6%,51.1%,0.21100000000000002,13.8,32.7%,CLE,5,2,0,1,-8
95,CHA,11/17/2017,48,58.0%,0.42,12.5,13.9%,61.0%,0.14300000000000002,10.6,9.8%,CHI,2,2,0,0,-3
96,CHA,11/18/2017,48,45.4%,0.33299999999999996,8.0,17.8%,44.6%,0.22899999999999998,14.2,14.6%,LAC,1,1,1,1,15
97,CHA,11/20/2017,48,55.9%,0.341,16.4,28.2%,44.4%,0.289,10.7,19.6%,MIN,2,1,1,1,16
98,CHA,11/22/2017,53,52.7%,0.44,11.3,29.2%,54.0%,0.222,11.5,20.9%,WAS,2,2,1,1,5
99,CHA,11/24/2017,48,44.1%,0.287,9.0,26.3%,53.6%,0.18100000000000002,12.2,7.0%,CLE,2,2,0,0,-1
100,CHA,11/25/2017,48,39.3%,0.31,14.7,27.5%,51.9%,0.309,11.6,22.2%,SAS,1,3,0,1,-20
101,CHA,11/29/2017,48,52.5%,0.44299999999999995,12.9,20.0%,60.2%,0.11199999999999999,8.9,27.5%,TOR,4,4,0,0,-13
102,CHA,12/01/2017,48,51.3%,0.266,21.9,25.0%,57.5%,0.263,21.5,23.1%,MIA,2,2,0,0,-5
103,CHA,12/04/2017,48,42.3%,0.47600000000000003,14.2,23.9%,50.0%,0.171,19.4,10.9%,ORL,3,1,1,1,10
104,CHA,12/06/2017,48,38.1%,0.175,11.7,26.4%,54.2%,0.155,15.5,18.6%,GSW,2,2,0,1,-14
105,CHA,12/08/2017,53,45.0%,0.29,9.6,15.3%,51.5%,0.222,12.0,12.8%,CHI,2,2,0,1,-8
106,CHA,12/09/2017,48,48.4%,0.151,10.9,18.4%,55.9%,0.247,13.7,15.0%,LAL,1,2,0,1,-11
107,CHA,12/11/2017,48,61.1%,0.29600000000000004,15.4,24.3%,46.5%,0.294,15.0,25.6%,OKC,2,2,1,0,13
108,CHI,10/19/2017,48,47.2%,0.213,17.9,21.7%,54.8%,0.337,17.1,31.0%,TOR,0,0,0,0,-17
109,CHI,10/21/2017,48,42.7%,0.11,20.4,17.4%,41.4%,0.172,11.3,25.9%,SAS,2,3,0,1,-10
110,CHI,10/24/2017,48,57.4%,0.14800000000000002,12.3,20.5%,61.4%,0.265,9.6,20.5%,CLE,3,3,0,0,-7
111,CHI,10/26/2017,48,40.1%,0.337,16.5,35.3%,46.3%,0.16,11.1,13.7%,ATL,2,3,1,1,5
112,CHI,10/28/2017,48,34.6%,0.256,21.1,22.6%,51.7%,0.159,12.6,23.9%,OKC,2,1,0,1,-32
113,CHI,11/01/2017,48,44.4%,0.213,11.7,13.5%,48.2%,0.22899999999999998,11.1,6.0%,MIA,4,2,0,0,-6
114,CHI,11/03/2017,48,55.3%,0.141,17.3,22.5%,46.5%,0.057999999999999996,16.5,15.2%,ORL,2,2,1,0,22
115,CHI,11/04/2017,53,40.9%,0.121,17.7,25.4%,45.4%,0.253,14.1,10.6%,NOP,1,1,0,1,-6
116,CHI,11/07/2017,48,56.9%,0.35,15.1,21.1%,62.3%,0.29600000000000004,15.9,19.4%,TOR,3,2,0,0,-5
117,CHI,11/10/2017,48,43.5%,0.09699999999999999,12.2,20.0%,58.3%,0.14300000000000002,17.9,17.9%,IND,3,2,0,1,-18
118,CHI,11/11/2017,48,50.0%,0.151,13.0,12.2%,70.6%,0.188,14.3,25.8%,SAS,1,1,0,0,-39
119,CHI,11/15/2017,48,42.0%,0.267,17.9,14.0%,41.7%,0.514,15.3,25.6%,OKC,4,3,0,0,-13
120,CHI,11/17/2017,48,61.0%,0.14300000000000002,10.6,9.8%,58.0%,0.42,12.5,13.9%,CHA,2,2,1,1,3
121,CHI,11/19/2017,48,47.5%,0.139,12.0,23.5%,54.5%,0.247,10.9,20.5%,PHX,2,2,0,0,-8
122,CHI,11/21/2017,48,44.1%,0.17,14.0,26.8%,47.2%,0.278,13.6,23.5%,LAL,2,2,0,0,-9
123,CHI,11/22/2017,48,40.4%,0.256,16.9,17.8%,54.7%,0.221,7.5,18.6%,UTA,1,2,0,0,-30
124,CHI,11/24/2017,48,41.9%,0.152,13.9,23.2%,67.0%,0.231,10.5,18.2%,GSW,2,2,0,0,-49
125,CHI,11/26/2017,48,44.9%,0.18,14.4,13.7%,54.0%,0.307,13.4,2.4%,MIA,2,2,0,1,-7
126,CHI,11/28/2017,48,48.9%,0.106,9.1,17.0%,50.0%,0.264,15.1,28.9%,PHX,2,2,0,1,-5
127,CHI,11/30/2017,48,59.1%,0.256,11.4,15.4%,53.0%,0.373,12.3,24.4%,DEN,2,2,0,0,-1
128,CHI,12/01/2017,48,53.9%,0.14400000000000002,9.3,18.6%,56.5%,0.165,12.6,21.1%,SAC,1,3,0,1,-1
129,CHI,12/04/2017,48,47.0%,0.22,12.1,19.6%,59.9%,0.21,8.7,13.2%,CLE,3,2,0,1,-22
