TEAM,MATCH UP,GAME DATE,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP_TEAM,OPP_PTS,OPP_FGM,OPP_FGA,OPP_FG%,OPP_3PM,OPP_3PA,OPP_3P%,OPP_FTM,OPP_FTA,OPP_FT%,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_PF,Home/Away,Rest,temp,diff,WIN
BOS,BOS vs. WAS,01/11/2017,48,117,43,85,50.6,17,41,41.5,14,18,77.8,10,35,45,20,14,5,7,10,9,WAS,108,45,105,42.9,10,26,38.5,8,12,66.7,16,28,44,28,8,10,3,13,1,1,2017-01-11,1.0,1
BOS,BOS @ ATL,01/13/2017,48,103,36,83,43.4,17,44,38.6,14,19,73.7,9,34,43,22,12,7,3,16,2,ATL,101,36,84,42.9,11,30,36.7,18,21,85.7,12,31,43,22,12,5,5,17,0,2,2017-01-13,2.0,1
BOS,BOS vs. CHA,01/16/2017,48,108,42,84,50.0,15,39,38.5,9,10,90.0,8,36,44,29,12,6,3,11,10,CHA,98,38,86,44.2,8,25,32.0,14,17,82.4,10,32,42,25,11,4,4,15,1,3,2017-01-16,3.0,1
BOS,BOS vs. NYK,01/18/2017,48,106,35,91,38.5,9,33,27.3,27,29,93.1,9,24,33,25,3,8,8,15,-11,NYK,117,46,91,50.5,10,25,40.0,15,18,83.3,18,39,57,27,16,2,8,24,1,2,2017-01-18,2.0,0
BOS,BOS vs. POR,01/21/2017,53,123,42,92,45.7,13,35,37.1,26,31,83.9,14,33,47,26,21,6,2,29,-4,POR,127,43,92,46.7,10,25,40.0,31,36,86.1,9,28,37,26,14,12,4,26,1,3,2017-01-21,3.0,0
BOS,BOS @ WAS,01/24/2017,48,108,38,84,45.2,10,33,30.3,22,24,91.7,8,24,32,24,14,10,3,20,-15,WAS,123,48,84,57.1,9,20,45.0,18,21,85.7,8,35,43,21,16,7,4,18,0,3,2017-01-24,3.0,0
BOS,BOS vs. HOU,01/25/2017,48,120,47,91,51.6,11,32,34.4,15,16,93.8,12,36,48,33,18,10,3,27,11,HOU,109,36,77,46.8,10,31,32.3,27,38,71.1,6,24,30,28,17,8,5,18,1,1,2017-01-25,1.0,1
BOS,BOS vs. ORL,01/27/2017,48,128,50,89,56.2,16,34,47.1,12,15,80.0,7,40,47,39,10,8,5,17,30,ORL,98,38,87,43.7,9,25,36.0,13,18,72.2,7,31,38,29,12,7,2,15,1,2,2017-01-27,2.0,1
BOS,BOS @ MIL,01/28/2017,53,112,37,89,41.6,14,41,34.1,24,30,80.0,9,35,44,26,13,6,7,23,4,MIL,108,37,87,42.5,9,21,42.9,25,32,78.1,9,38,47,23,16,6,6,25,0,1,2017-01-28,1.0,1
BOS,BOS vs. DET,01/30/2017,48,113,36,82,43.9,13,32,40.6,28,33,84.8,6,38,44,23,10,6,5,18,4,DET,109,43,97,44.3,3,27,11.1,20,29,69.0,12,39,51,18,7,6,7,23,1,2,2017-01-30,2.0,1
BOS,BOS vs. TOR,02/01/2017,48,109,36,87,41.4,12,36,33.3,25,30,83.3,12,27,39,24,10,6,2,21,5,TOR,104,41,78,52.6,8,31,25.8,14,25,56.0,8,33,41,17,16,6,5,29,1,2,2017-02-01,2.0,1
BOS,BOS vs. LAL,02/03/2017,48,113,39,82,47.6,13,35,37.1,22,28,78.6,7,40,47,28,16,8,1,19,6,LAL,107,37,94,39.4,14,38,36.8,19,26,73.1,15,37,52,24,12,9,3,23,1,2,2017-02-03,2.0,1
BOS,BOS vs. LAC,02/05/2017,48,107,37,88,42.0,16,52,30.8,17,20,85.0,9,36,45,24,11,9,3,21,5,LAC,102,35,84,41.7,10,29,34.5,22,28,78.6,8,38,46,22,13,4,0,13,1,2,2017-02-05,2.0,1
BOS,BOS @ SAC,02/08/2017,48,92,29,73,39.7,10,32,31.3,24,27,88.9,7,32,39,18,18,8,2,19,-16,SAC,108,42,84,50.0,10,25,40.0,14,15,93.3,4,36,40,24,14,11,1,18,0,3,2017-02-08,3.0,0
BOS,BOS @ POR,02/09/2017,48,120,44,91,48.4,10,30,33.3,22,27,81.5,14,29,43,23,8,8,1,21,9,POR,111,39,77,50.6,9,26,34.6,24,31,77.4,10,31,41,23,16,4,6,23,0,1,2017-02-09,1.0,1
BOS,BOS @ UTA,02/11/2017,48,112,42,71,59.2,13,30,43.3,15,23,65.2,3,34,37,20,16,6,4,24,8,UTA,104,35,86,40.7,8,31,25.8,26,30,86.7,13,26,39,16,11,9,2,19,0,2,2017-02-11,2.0,1
BOS,BOS @ DAL,02/13/2017,48,111,40,81,49.4,16,34,47.1,15,18,83.3,7,34,41,28,12,5,3,25,13,DAL,98,35,77,45.5,9,27,33.3,19,25,76.0,4,33,37,21,12,7,2,16,0,2,2017-02-13,2.0,1
