,TEAM,GAME DATE,MIN,EFG%,FTA RATE,TOV,TOV%,OREB%,OPP_EFG%,OPP_FTA RATE,OPP_TOV,OPP_TOV%,OPP_OREB%,OPP,REST,OPP_REST,W/L,Home/Away,+/-
184,DAL,12/2/17,48,0.557,0.329,18.4,0.184,0.357,0.384,0.267,11.4,0.114,0.22,LAC,3,2,1,1,26
185,DAL,12/4/17,48,0.64,0.198,7.3,0.073,0.128,0.495,0.253,7.5,0.075,0.288,DEN,2,2,1,1,17
186,DAL,12/6/17,48,0.448,0.198,11.2,0.112,0.12,0.483,0.195,12.3,0.123,0.188,BOS,2,2,0,0,-7
187,DAL,12/8/17,48,0.533,0.347,12.7,0.127,0.108,0.506,0.43,10.3,0.103,0.179,MIL,2,2,0,0,-7
188,DAL,12/10/17,48,0.525,0.111,12.2,0.122,0.143,0.549,0.319,19.8,0.198,0.25,MIN,2,4,0,0,-5
189,DEN,10/18/17,48,0.552,0.156,22.6,0.226,0.189,0.562,0.198,15.5,0.155,0.162,UTA,0,0,0,0,-10
190,DEN,10/21/17,48,0.494,0.235,17.4,0.174,0.4,0.412,0.153,15.1,0.151,0.231,SAC,3,1,1,1,17
191,DEN,10/23/17,48,0.538,0.288,22.1,0.221,0.243,0.494,0.333,14.8,0.148,0.222,WAS,2,3,0,1,-5
192,DEN,10/25/17,48,0.42,0.15,13.6,0.136,0.31,0.549,0.321,14.5,0.145,0.233,CHA,2,2,0,0,-17
193,DEN,10/27/17,48,0.484,0.253,11.8,0.118,0.256,0.494,0.135,12.6,0.126,0.239,ATL,2,1,1,0,5
194,DEN,10/29/17,48,0.559,0.234,5.7,0.057,0.093,0.469,0.323,13.9,0.139,0.288,BKN,2,2,1,0,13
195,DEN,10/30/17,48,0.518,0.365,13.2,0.132,0.255,0.579,0.28,22.1,0.221,0.324,NYK,1,1,0,0,-6
196,DEN,11/1/17,48,0.625,0.33,11.6,0.116,0.237,0.559,0.294,13.9,0.139,0.209,TOR,2,2,1,1,18
197,DEN,11/3/17,48,0.506,0.313,17.9,0.179,0.283,0.565,0.143,23.8,0.238,0.222,MIA,2,2,1,1,1
198,DEN,11/4/17,48,0.494,0.31,16.7,0.167,0.209,0.648,0.187,14.1,0.141,0.159,GSW,1,2,0,1,-19
199,DEN,11/7/17,48,0.522,0.215,17,0.17,0.188,0.489,0.247,21.6,0.216,0.174,BKN,3,1,1,1,8
